mechanism_id,mechanism_name,journey_stage,evidence_count_at_stage,total_evidence_count,human_reviewed_share,outcome_association_tested,evidence_grade,p_value
BM-011,Reciprocity,client_interview_2,13,364,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.9006157394669951
BM-013,Anchoring,client_interview_1,3,8,1.0,lower_joining_with_mechanism,INCONCLUSIVE,0.4590990968604094
BM-013,Anchoring,offer_accepted,2,8,1.0,lower_joining_with_mechanism,INCONCLUSIVE,0.4590990968604094
BM-013,Anchoring,unknown,2,8,1.0,lower_joining_with_mechanism,INCONCLUSIVE,0.4590990968604094
BM-013,Anchoring,onboarding_docs_sent,1,8,1.0,lower_joining_with_mechanism,INCONCLUSIVE,0.4590990968604094
BM-014,Confirmation Bias,submitted,72,298,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.6611220640367012
BM-014,Confirmation Bias,client_interview_1,52,298,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.6611220640367012
BM-014,Confirmation Bias,background_check,44,298,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.6611220640367012
BM-014,Confirmation Bias,offer_accepted,43,298,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.6611220640367012
BM-014,Confirmation Bias,screened,40,298,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.6611220640367012
BM-014,Confirmation Bias,offer_extended,13,298,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.6611220640367012
BM-014,Confirmation Bias,unknown,13,298,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.6611220640367012
BM-014,Confirmation Bias,onboarding_docs_sent,11,298,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.6611220640367012
BM-014,Confirmation Bias,client_interview_2,10,298,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.6611220640367012
BM-016,Peak-End Rule,background_check,1,1,1.0,not tested,not tested,
BM-018,Identity Signaling,background_check,36,160,0.0,higher_joining_with_mechanism,SUPPORTED,1.3134243065553432e-06
BM-018,Identity Signaling,submitted,33,160,0.0,higher_joining_with_mechanism,SUPPORTED,1.3134243065553432e-06
BM-018,Identity Signaling,offer_accepted,30,160,0.0,higher_joining_with_mechanism,SUPPORTED,1.3134243065553432e-06
BM-018,Identity Signaling,client_interview_1,27,160,0.0,higher_joining_with_mechanism,SUPPORTED,1.3134243065553432e-06
BM-018,Identity Signaling,offer_extended,11,160,0.0,higher_joining_with_mechanism,SUPPORTED,1.3134243065553432e-06
BM-018,Identity Signaling,client_interview_2,8,160,0.0,higher_joining_with_mechanism,SUPPORTED,1.3134243065553432e-06
BM-018,Identity Signaling,unknown,6,160,0.0,higher_joining_with_mechanism,SUPPORTED,1.3134243065553432e-06
BM-018,Identity Signaling,screened,5,160,0.0,higher_joining_with_mechanism,SUPPORTED,1.3134243065553432e-06
BM-018,Identity Signaling,onboarding_docs_sent,4,160,0.0,higher_joining_with_mechanism,SUPPORTED,1.3134243065553432e-06
BM-020,Commitment / Consistency,background_check,43,220,0.0,higher_joining_with_mechanism,SUPPORTED,1.3312323120996317e-07
BM-020,Commitment / Consistency,submitted,42,220,0.0,higher_joining_with_mechanism,SUPPORTED,1.3312323120996317e-07
BM-020,Commitment / Consistency,offer_accepted,38,220,0.0,higher_joining_with_mechanism,SUPPORTED,1.3312323120996317e-07
BM-020,Commitment / Consistency,client_interview_1,29,220,0.0,higher_joining_with_mechanism,SUPPORTED,1.3312323120996317e-07
BM-020,Commitment / Consistency,onboarding_docs_sent,16,220,0.0,higher_joining_with_mechanism,SUPPORTED,1.3312323120996317e-07
BM-020,Commitment / Consistency,offer_extended,16,220,0.0,higher_joining_with_mechanism,SUPPORTED,1.3312323120996317e-07
BM-020,Commitment / Consistency,unknown,14,220,0.0,higher_joining_with_mechanism,SUPPORTED,1.3312323120996317e-07
BM-020,Commitment / Consistency,screened,13,220,0.0,higher_joining_with_mechanism,SUPPORTED,1.3312323120996317e-07
BM-020,Commitment / Consistency,client_interview_2,9,220,0.0,higher_joining_with_mechanism,SUPPORTED,1.3312323120996317e-07
BM-021,Reactance,client_interview_1,2,2,1.0,not tested,not tested,
BM-023,Goal Gradient,background_check,126,548,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.2605097305526636
BM-023,Goal Gradient,submitted,106,548,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.2605097305526636
BM-023,Goal Gradient,client_interview_1,86,548,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.2605097305526636
BM-023,Goal Gradient,offer_accepted,62,548,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.2605097305526636
BM-023,Goal Gradient,screened,40,548,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.2605097305526636
BM-023,Goal Gradient,onboarding_docs_sent,37,548,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.2605097305526636
BM-023,Goal Gradient,offer_extended,32,548,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.2605097305526636
BM-023,Goal Gradient,client_interview_2,31,548,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.2605097305526636
BM-023,Goal Gradient,unknown,28,548,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.2605097305526636
BM-029,Uncertainty / Ambiguity Aversion,submitted,238,985,0.072,lower_joining_with_mechanism,INCONCLUSIVE,0.2519984511480994
BM-029,Uncertainty / Ambiguity Aversion,client_interview_1,173,985,0.072,lower_joining_with_mechanism,INCONCLUSIVE,0.2519984511480994
BM-029,Uncertainty / Ambiguity Aversion,background_check,160,985,0.072,lower_joining_with_mechanism,INCONCLUSIVE,0.2519984511480994
BM-029,Uncertainty / Ambiguity Aversion,offer_accepted,120,985,0.072,lower_joining_with_mechanism,INCONCLUSIVE,0.2519984511480994
BM-029,Uncertainty / Ambiguity Aversion,offer_extended,74,985,0.072,lower_joining_with_mechanism,INCONCLUSIVE,0.2519984511480994
BM-029,Uncertainty / Ambiguity Aversion,screened,65,985,0.072,lower_joining_with_mechanism,INCONCLUSIVE,0.2519984511480994
BM-029,Uncertainty / Ambiguity Aversion,onboarding_docs_sent,59,985,0.072,lower_joining_with_mechanism,INCONCLUSIVE,0.2519984511480994
BM-029,Uncertainty / Ambiguity Aversion,client_interview_2,52,985,0.072,lower_joining_with_mechanism,INCONCLUSIVE,0.2519984511480994
BM-029,Uncertainty / Ambiguity Aversion,unknown,44,985,0.072,lower_joining_with_mechanism,INCONCLUSIVE,0.2519984511480994
