application_id,mechanism_id,mechanism_name,mapping_source,mapping_confidence
APP-00303,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-00286,BM-013,Anchoring,HUMAN_REVIEWED,HIGH
APP-00289,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00243,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00179,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00183,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00173,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00148,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-00155,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00145,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00095,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-00100,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00105,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00004,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-00008,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02498,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-02498,BM-011,Reciprocity,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-02484,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-02490,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-02497,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-02481,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-02481,BM-014,Confirmation Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-02478,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-02480,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00012,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-00013,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00016,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-00005,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00008,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00004,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-00004,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00005,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00106,BM-011,Reciprocity,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00100,BM-014,Confirmation Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00103,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00103,BM-011,Reciprocity,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00104,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00104,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00095,BM-011,Reciprocity,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00097,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00125,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00125,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00126,BM-005,Choice Overload,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00123,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00123,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00124,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00124,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00124,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00115,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00122,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00107,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00107,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00142,BM-011,Reciprocity,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00144,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00145,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00147,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00133,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00136,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00140,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00140,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00132,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00126,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00127,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-00131,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00158,BM-020,Commitment / Consistency,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00159,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00159,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00160,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-00157,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00157,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00152,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00153,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00153,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00154,BM-011,Reciprocity,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00154,BM-018,Identity Signaling,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00148,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00151,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00167,BM-018,Identity Signaling,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00170,BM-020,Commitment / Consistency,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00174,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00176,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00176,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00176,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00165,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00167,BM-020,Commitment / Consistency,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00162,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00163,BM-005,Choice Overload,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00162,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00183,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00184,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00185,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00185,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00183,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-00183,BM-014,Confirmation Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00179,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00179,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00181,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00177,BM-011,Reciprocity,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00204,BM-020,Commitment / Consistency,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00204,BM-018,Identity Signaling,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00207,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00216,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00221,BM-005,Choice Overload,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00222,BM-020,Commitment / Consistency,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00194,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00194,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-00196,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00196,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00196,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00190,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00186,BM-005,Choice Overload,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00186,BM-020,Commitment / Consistency,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00187,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00234,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00236,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-00232,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00234,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00226,BM-029,Uncertainty / Ambiguity Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00229,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-00226,BM-002,Loss Aversion,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00244,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00246,BM-011,Reciprocity,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00246,BM-018,Identity Signaling,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00249,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00251,BM-020,Commitment / Consistency,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00243,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-00243,BM-014,Confirmation Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00244,BM-001,Status Quo Bias,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00238,BM-018,Identity Signaling,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00237,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00238,BM-020,Commitment / Consistency,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00259,BM-006,Friction,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55
APP-00267,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00275,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
APP-00276,BM-023,Goal Gradient,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4
