application_id,candidate_id,requisition_id,client_account_id,recruiter_id,job_title,job_family,location_city,location_state,work_arrangement,contract_type,years_experience,application_source,pay_rate_prior,pay_rate_offered,notice_period_days,application_date,interview_date,offer_date,offer_response_date,expected_start_date,actual_start_date,offer_extended,offer_accepted,final_disposition,disposition_date,research_split,req_requisition_open_date,client_client_name,client_primary_job_families_general,client_hiring_speed_tier,client_pay_band_tier,client_preferred_work_arrangement,recruiter_recruiter_first_name,recruiter_team,recruiter_tenure_months,recruiter_typical_followup_speed_tier,recruiter_typical_communication_frequency_tier,days_application_to_interview,days_interview_to_offer,days_offer_to_response,days_acceptance_to_expected_start,days_expected_to_actual_start,pay_change_absolute,pay_change_percentage,total_communications,total_stage_events
APP-00011,CAND-00011,REQ-00033,CLI-009,REC-016,Quality Engineer,Engineering,Austin,TX,onsite,1099,4.4,recruiter_sourced,41.83,42.98,6,2024-05-30,2024-06-04,2024-06-06,2024-06-08,2024-06-22,,True,False,declined_offer,2024-06-08,held_out_test,2024-04-15,Client_Iota_Industrial,Engineering,medium,market,onsite,Jessica,Team_Technical,30,fast,medium,5,2,2,14,,1.1499999999999986,2.7492230456610054,6,4
APP-00012,CAND-00012,REQ-00092,CLI-011,REC-009,Data Entry Clerk,Administrative/Professional,Houston,TX,onsite,Direct Hire,3.1,recruiter_sourced,22.4,23.12,11,2024-04-06,2024-04-18,2024-04-27,2024-04-29,2024-05-10,,True,False,declined_offer,2024-04-29,discovery,2024-02-28,Client_Lambda_Distribution,Light Industrial;Administrative/Professional,fast,below_market,onsite,Brandon,Team_Commercial,22,slow,low,12,9,2,11,,0.7200000000000024,3.214285714285725,7,4
APP-00013,CAND-00013,REQ-00179,CLI-006,REC-018,Senior Accountant,Finance/Accounting,Orlando,FL,hybrid,Contract-to-Hire,2.9,job_board,22.69,25.62,9,2024-02-25,2024-03-14,2024-03-16,2024-03-21,2024-04-11,2024-05-02,True,True,joined_late,2024-05-02,discovery,2024-01-27,Client_Zeta_InsuranceGroup,Finance/Accounting;Administrative/Professional,slow,market,hybrid,Linh,Team_Commercial,40,slow,high,18,2,5,21,21.0,2.9299999999999997,12.9131776112825,8,8
APP-00014,CAND-00014,REQ-00186,CLI-011,REC-009,Machine Operator,Light Industrial,Indianapolis,IN,onsite,Contract-to-Hire,1.2,recruiter_sourced,17.67,20.83,11,2025-07-31,2025-08-08,2025-08-12,2025-08-16,2025-09-02,2025-09-01,True,True,joined_on_time,2025-09-01,hypothesis_generation,2025-06-22,Client_Lambda_Distribution,Light Industrial;Administrative/Professional,fast,below_market,onsite,Brandon,Team_Commercial,22,slow,low,8,4,4,17,-1.0,3.1599999999999966,17.883418222976776,3,8
APP-00015,CAND-00015,REQ-00203,CLI-010,REC-008,Executive Assistant,Administrative/Professional,Phoenix,AZ,hybrid,W2 Contract,2.5,recruiter_sourced,22.0,22.94,2,2024-05-03,2024-05-21,2024-05-24,2024-05-29,2024-06-15,2024-06-15,True,True,joined_on_time,2024-06-15,hypothesis_generation,2024-04-01,Client_Kappa_CorpServices,Administrative/Professional,fast,below_market,hybrid,Wei,Team_Healthcare,8,fast,medium,18,3,5,17,0.0,0.9400000000000013,4.272727272727279,7,8
APP-00016,CAND-00016,REQ-00174,CLI-009,REC-007,Mechanical Engineer,Engineering,Jacksonville,FL,onsite,W2 Contract,1.0,job_board,48.82,50.34,12,2025-02-10,2025-02-16,2025-02-28,2025-03-01,2025-03-11,,True,True,accepted_no_show,2025-03-11,discovery,2025-01-19,Client_Iota_Industrial,Engineering,medium,market,onsite,Emily,Team_Technical,22,fast,medium,6,12,1,10,,1.5200000000000031,3.113478082752976,15,6
APP-00017,CAND-00017,REQ-00022,CLI-009,REC-016,Civil Engineer,Engineering,Phoenix,AZ,remote,1099,5.5,recruiter_sourced,31.72,39.59,4,2024-02-18,2024-02-26,2024-03-03,2024-03-03,2024-04-04,2024-04-04,True,True,joined_on_time,2024-04-04,discovery,2024-01-06,Client_Iota_Industrial,Engineering,medium,market,onsite,Jessica,Team_Technical,30,fast,medium,8,6,0,32,0.0,7.8700000000000045,24.81084489281212,4,8
APP-00018,CAND-00018,REQ-00147,CLI-003,REC-003,Senior Accountant,Finance/Accounting,St. Louis,MO,hybrid,1099,2.3,recruiter_sourced,39.03,39.6,8,2024-05-16,2024-05-31,2024-06-17,2024-06-19,2024-06-28,,True,True,withdrew_post_acceptance,2024-06-23,held_out_test,2024-05-14,Client_Gamma_FinServ,Finance/Accounting,medium,above_market,hybrid,Priya,Team_Commercial,4,slow,medium,15,17,2,9,,0.5700000000000003,1.4604150653343588,7,7
APP-00019,CAND-00019,REQ-00226,CLI-006,REC-018,Bookkeeper,Finance/Accounting,St. Louis,MO,hybrid,W2 Contract,5.5,reapply,20.9,25.84,17,2025-04-05,2025-04-20,2025-05-06,2025-05-09,2025-05-26,,True,True,rejected_by_client,2025-05-15,held_out_test,2025-03-29,Client_Zeta_InsuranceGroup,Finance/Accounting;Administrative/Professional,slow,market,hybrid,Linh,Team_Commercial,40,slow,high,15,16,3,17,,4.940000000000001,23.636363636363644,3,6
APP-00020,CAND-00020,REQ-00059,CLI-002,REC-008,Certified Nursing Assistant,Healthcare,Chicago,IL,remote,Direct Hire,4.9,job_board,42.5,42.39,10,2024-11-07,2024-11-23,2024-11-27,2024-11-30,2024-12-26,,True,True,withdrew_post_acceptance,2024-12-06,discovery,2024-10-05,Client_Beta_HealthSystem,Healthcare,slow,market,onsite,Wei,Team_Healthcare,8,fast,medium,16,4,3,26,,-0.10999999999999943,-0.2588235294117634,7,6
APP-00021,CAND-00021,REQ-00086,CLI-002,REC-002,Registered Nurse,Healthcare,Phoenix,AZ,onsite,W2 Contract,1.0,job_board,38.72,40.43,6,2025-04-21,2025-05-07,2025-05-14,2025-05-19,2025-06-07,2025-06-07,True,True,joined_on_time,2025-06-07,held_out_test,2025-03-10,Client_Beta_HealthSystem,Healthcare,slow,market,onsite,James,Team_Healthcare,30,fast,low,16,7,5,19,0.0,1.7100000000000009,4.416322314049589,2,6
APP-00022,CAND-00022,REQ-00008,CLI-001,REC-015,Shipping/Receiving Clerk,Light Industrial,Houston,TX,onsite,W2 Contract,1.6,referral,13.27,15.85,8,2024-11-14,2024-11-18,2024-11-22,2024-11-27,2024-12-22,2024-12-22,True,True,joined_on_time,2024-12-22,hypothesis_generation,2024-10-28,Client_Alpha_Logistics,Light Industrial,fast,market,onsite,Omar,Team_Commercial,4,slow,medium,4,4,5,25,0.0,2.58,19.44235116804823,8,8
APP-00023,CAND-00023,REQ-00193,CLI-003,REC-003,Senior Accountant,Finance/Accounting,Columbus,OH,hybrid,W2 Contract,4.3,referral,25.21,29.12,2,2024-10-31,2024-11-07,2024-11-11,2024-11-12,2024-12-15,,True,False,declined_offer,2024-11-12,hypothesis_generation,2024-09-23,Client_Gamma_FinServ,Finance/Accounting,medium,above_market,hybrid,Priya,Team_Commercial,4,slow,medium,7,4,1,33,,3.91,15.509718365727887,6,4
APP-00024,CAND-00024,REQ-00063,CLI-007,REC-011,Certified Nursing Assistant,Healthcare,Dallas,TX,onsite,1099,12.4,referral,33.74,31.89,0,2024-07-08,2024-07-22,2024-08-04,2024-08-07,2024-09-07,2024-09-06,True,True,joined_on_time,2024-09-06,discovery,2024-07-06,Client_Eta_RegionalClinics,Healthcare,medium,below_market,onsite,Tyler,Team_Healthcare,30,fast,low,14,13,3,31,-1.0,-1.8500000000000014,-5.483106105512749,1,7
APP-00025,CAND-00025,REQ-00096,CLI-003,REC-012,Accounts Payable Clerk,Finance/Accounting,Kansas City,MO,hybrid,Direct Hire,8.2,job_board,41.02,42.73,8,2024-05-19,2024-05-27,2024-06-13,2024-06-17,2024-07-05,2024-07-06,True,True,joined_on_time,2024-07-06,held_out_test,2024-05-02,Client_Gamma_FinServ,Finance/Accounting,medium,above_market,hybrid,Sofia,Team_Commercial,70,slow,high,8,17,4,18,1.0,1.7099999999999937,4.168698196001935,4,9
APP-00026,CAND-00026,REQ-00095,CLI-001,REC-018,Shipping/Receiving Clerk,Light Industrial,Columbus,OH,onsite,W2 Contract,2.0,job_board,,21.68,14,2024-11-02,2024-11-20,2024-11-28,2024-11-28,2024-12-12,,True,True,withdrew_post_acceptance,2024-12-12,discovery,2024-09-24,Client_Alpha_Logistics,Light Industrial,fast,market,onsite,Linh,Team_Commercial,40,slow,high,18,8,0,14,,,,10,6
APP-00027,CAND-00027,REQ-00057,CLI-003,REC-018,AR Specialist,Finance/Accounting,Nashville,TN,hybrid,1099,3.9,career_site,,42.2,10,2024-06-17,2024-06-30,2024-07-13,2024-07-18,2024-07-25,2024-08-14,True,True,joined_late,2024-08-14,hypothesis_generation,2024-06-12,Client_Gamma_FinServ,Finance/Accounting,medium,above_market,hybrid,Linh,Team_Commercial,40,slow,high,13,13,5,7,20.0,,,11,7
APP-00028,CAND-00028,REQ-00028,CLI-009,REC-004,Mechanical Engineer,Engineering,Jacksonville,FL,onsite,W2 Contract,5.6,referral,41.8,42.46,1,2024-10-11,2024-10-30,2024-11-08,2024-11-08,2024-11-24,2024-11-24,True,True,joined_on_time,2024-11-24,discovery,2024-08-28,Client_Iota_Industrial,Engineering,medium,market,onsite,David,Team_Technical,30,fast,high,19,9,0,16,0.0,0.6600000000000037,1.5789473684210618,11,8
APP-00029,CAND-00029,REQ-00024,CLI-009,REC-001,Mechanical Engineer,Engineering,Jacksonville,FL,onsite,W2 Contract,3.2,recruiter_sourced,32.69,36.16,10,2025-06-22,2025-07-12,2025-07-18,2025-07-22,2025-07-30,2025-07-29,True,True,joined_on_time,2025-07-29,held_out_test,2025-05-17,Client_Iota_Industrial,Engineering,medium,market,onsite,Maria,Team_Technical,14,slow,high,20,6,4,8,-1.0,3.469999999999999,10.614866931783418,9,8
APP-00030,CAND-00030,REQ-00201,CLI-009,REC-013,Mechanical Engineer,Engineering,Tampa,FL,remote,Direct Hire,10.0,career_site,54.18,56.36,11,2024-04-12,2024-04-25,2024-04-29,2024-05-02,2024-05-23,,True,True,withdrew_post_acceptance,2024-05-19,discovery,2024-03-17,Client_Iota_Industrial,Engineering,medium,market,onsite,Kevin,Team_Technical,14,fast,medium,13,4,3,21,,2.1799999999999997,4.023624953857512,5,6
APP-00031,CAND-00031,REQ-00166,CLI-003,REC-006,Accounts Payable Clerk,Finance/Accounting,Nashville,TN,hybrid,Contract-to-Hire,1.3,career_site,30.01,29.52,2,2024-10-14,2024-10-26,2024-11-02,2024-11-03,2024-11-22,,True,True,accepted_no_show,2024-11-22,held_out_test,2024-10-11,Client_Gamma_FinServ,Finance/Accounting,medium,above_market,hybrid,Carlos,Team_Commercial,8,fast,medium,12,7,1,19,,-0.490000000000002,-1.632789070309903,10,7
APP-00032,CAND-00032,REQ-00010,CLI-002,REC-006,Certified Nursing Assistant,Healthcare,Phoenix,AZ,onsite,W2 Contract,11.2,career_site,25.85,27.06,10,2024-04-21,2024-05-02,2024-05-10,2024-05-15,2024-06-06,,True,False,declined_offer,2024-05-15,discovery,2024-03-19,Client_Beta_HealthSystem,Healthcare,slow,market,onsite,Carlos,Team_Commercial,8,fast,medium,11,8,5,22,,1.2099999999999973,4.680851063829777,5,4
APP-00033,CAND-00033,REQ-00184,CLI-009,REC-013,Mechanical Engineer,Engineering,Tampa,FL,onsite,W2 Contract,4.6,referral,37.67,43.35,8,2025-04-13,2025-05-04,2025-05-10,2025-05-11,2025-06-10,2025-06-11,True,True,joined_on_time,2025-06-11,discovery,2025-03-12,Client_Iota_Industrial,Engineering,medium,market,onsite,Kevin,Team_Technical,14,fast,medium,21,6,1,30,1.0,5.68,15.078311653835943,5,9
APP-00034,CAND-00034,REQ-00076,CLI-005,REC-015,Machine Operator,Light Industrial,Jacksonville,FL,onsite,Direct Hire,4.5,job_board,,21.35,0,2024-04-25,2024-05-16,2024-05-26,2024-05-31,2024-06-11,,True,True,withdrew_post_acceptance,2024-06-10,discovery,2024-04-24,Client_Epsilon_Manufacturing,Engineering;Light Industrial,slow,below_market,onsite,Omar,Team_Commercial,4,slow,medium,21,10,5,11,,,,3,6
APP-00035,CAND-00035,REQ-00037,CLI-003,REC-012,AR Specialist,Finance/Accounting,Jacksonville,FL,hybrid,Contract-to-Hire,1.3,job_board,,35.28,6,2024-09-14,2024-10-02,2024-10-11,2024-10-17,2024-11-15,2024-11-15,True,True,joined_on_time,2024-11-15,discovery,2024-08-11,Client_Gamma_FinServ,Finance/Accounting,medium,above_market,hybrid,Sofia,Team_Commercial,70,slow,high,18,9,6,29,0.0,,,10,6
APP-00036,CAND-00036,REQ-00094,CLI-001,REC-018,Forklift Operator,Light Industrial,Orlando,FL,remote,W2 Contract,3.7,recruiter_sourced,17.29,17.72,18,2024-06-11,2024-06-24,2024-06-30,2024-07-02,2024-08-01,2024-08-14,True,True,joined_late,2024-08-14,discovery,2024-05-14,Client_Alpha_Logistics,Light Industrial,fast,market,onsite,Linh,Team_Commercial,40,slow,high,13,6,2,30,13.0,0.4299999999999997,2.4869866975130117,15,8
APP-00037,CAND-00037,REQ-00089,CLI-008,REC-010,Software Engineer,IT/Technology,Houston,TX,hybrid,W2 Contract,10.1,recruiter_sourced,31.19,36.03,12,2025-05-15,2025-05-25,2025-06-10,2025-06-10,2025-06-28,,True,True,accepted_no_show,2025-06-28,discovery,2025-04-22,Client_Theta_TechScaleup,IT/Technology,fast,market,hybrid,Nia,Team_Technical,22,medium,low,10,16,0,18,,4.84,15.517794164796408,3,7
APP-00038,CAND-00038,REQ-00166,CLI-003,REC-003,Accounts Payable Clerk,Finance/Accounting,Nashville,TN,hybrid,Contract-to-Hire,7.1,career_site,34.88,36.07,5,2024-11-04,2024-11-12,2024-11-24,2024-11-28,2024-12-27,2025-01-09,True,True,joined_late,2025-01-09,held_out_test,2024-10-11,Client_Gamma_FinServ,Finance/Accounting,medium,above_market,hybrid,Priya,Team_Commercial,4,slow,medium,8,12,4,29,13.0,1.1899999999999977,3.4116972477064156,9,9
APP-00039,CAND-00039,REQ-00113,CLI-005,REC-012,Warehouse Associate,Light Industrial,Orlando,FL,onsite,W2 Contract,1.6,recruiter_sourced,14.92,17.93,4,2024-12-09,2024-12-12,2024-12-16,2024-12-19,2025-01-11,2025-01-28,True,True,joined_late,2025-01-28,discovery,2024-11-10,Client_Epsilon_Manufacturing,Engineering;Light Industrial,slow,below_market,onsite,Sofia,Team_Commercial,70,slow,high,3,4,3,23,17.0,3.01,20.17426273458445,8,9
APP-00040,CAND-00040,REQ-00101,CLI-011,REC-014,General Laborer,Light Industrial,Chicago,IL,onsite,Contract-to-Hire,10.4,job_board,20.85,21.34,18,2025-02-01,2025-02-19,2025-03-02,2025-03-06,2025-03-12,,True,False,declined_offer,2025-03-06,hypothesis_generation,2025-01-10,Client_Lambda_Distribution,Light Industrial;Administrative/Professional,fast,below_market,onsite,Rachel,Team_Healthcare,22,fast,medium,18,11,4,6,,0.48999999999999844,2.350119904076731,5,4
APP-00041,CAND-00041,REQ-00075,CLI-009,REC-010,Quality Engineer,Engineering,St. Louis,MO,onsite,Direct Hire,5.1,referral,49.02,47.11,15,2025-02-18,2025-03-04,2025-03-07,2025-03-10,2025-03-18,2025-03-19,True,True,joined_on_time,2025-03-19,hypothesis_generation,2025-02-02,Client_Iota_Industrial,Engineering,medium,market,onsite,Nia,Team_Technical,22,medium,low,14,3,3,8,1.0,-1.9100000000000037,-3.896368829049375,6,8
APP-00042,CAND-00042,REQ-00022,CLI-009,REC-013,Civil Engineer,Engineering,Phoenix,AZ,remote,1099,1.0,recruiter_sourced,45.96,51.14,12,2024-02-17,2024-02-23,2024-02-29,2024-02-29,2024-03-22,2024-03-22,True,True,joined_on_time,2024-03-22,hypothesis_generation,2024-01-06,Client_Iota_Industrial,Engineering,medium,market,onsite,Kevin,Team_Technical,14,fast,medium,6,6,0,22,0.0,5.18,11.270670147954743,4,6
APP-00043,CAND-00043,REQ-00012,CLI-009,REC-013,Project Engineer,Engineering,Austin,TX,onsite,W2 Contract,3.4,job_board,28.58,30.76,10,2024-12-03,2024-12-22,2024-12-25,2024-12-25,2025-01-05,2025-01-05,True,True,joined_on_time,2025-01-05,discovery,2024-11-24,Client_Iota_Industrial,Engineering,medium,market,onsite,Kevin,Team_Technical,14,fast,medium,19,3,0,11,0.0,2.1800000000000033,7.627711686494064,5,8
APP-00044,CAND-00044,REQ-00120,CLI-002,REC-014,Phlebotomist,Healthcare,Charlotte,NC,hybrid,W2 Contract,1.4,career_site,35.8,38.93,6,2024-04-14,2024-04-27,2024-05-04,2024-05-07,2024-06-02,2024-06-02,True,True,joined_on_time,2024-06-02,discovery,2024-03-07,Client_Beta_HealthSystem,Healthcare,slow,market,onsite,Rachel,Team_Healthcare,22,fast,medium,13,7,3,26,0.0,3.1300000000000026,8.743016759776543,8,6
APP-00045,CAND-00045,REQ-00079,CLI-005,REC-018,Material Handler,Light Industrial,Indianapolis,IN,onsite,1099,3.2,career_site,15.06,17.95,5,2025-05-06,2025-05-12,2025-05-27,2025-05-31,2025-06-15,2025-06-14,True,True,joined_on_time,2025-06-14,discovery,2025-04-06,Client_Epsilon_Manufacturing,Engineering;Light Industrial,slow,below_market,onsite,Linh,Team_Commercial,40,slow,high,6,15,4,15,-1.0,2.889999999999999,19.189907038512608,10,9
APP-00046,CAND-00046,REQ-00055,CLI-002,REC-017,Certified Nursing Assistant,Healthcare,Memphis,TN,onsite,Contract-to-Hire,4.7,recruiter_sourced,41.9,42.05,12,2024-03-25,2024-04-15,2024-05-02,2024-05-03,2024-05-28,2024-05-29,True,True,joined_on_time,2024-05-29,held_out_test,2024-02-17,Client_Beta_HealthSystem,Healthcare,slow,market,onsite,Marcus,Team_Healthcare,22,fast,high,21,17,1,25,1.0,0.14999999999999858,0.35799522673030687,5,7
APP-00047,CAND-00047,REQ-00075,CLI-009,REC-004,Quality Engineer,Engineering,St. Louis,MO,onsite,Direct Hire,2.9,job_board,,39.0,18,2025-02-17,2025-02-23,2025-03-03,2025-03-03,2025-03-27,,True,False,declined_offer,2025-03-03,discovery,2025-02-02,Client_Iota_Industrial,Engineering,medium,market,onsite,David,Team_Technical,30,fast,high,6,8,0,24,,,,11,5
APP-00048,CAND-00048,REQ-00103,CLI-007,REC-011,Phlebotomist,Healthcare,Chicago,IL,remote,W2 Contract,3.7,recruiter_sourced,35.52,40.42,13,2024-10-09,2024-10-27,2024-10-30,2024-11-04,2024-11-13,,True,True,withdrew_post_acceptance,2024-11-13,discovery,2024-09-13,Client_Eta_RegionalClinics,Healthcare,medium,below_market,onsite,Tyler,Team_Healthcare,30,fast,low,18,3,5,9,,4.899999999999999,13.79504504504504,3,5
APP-00049,CAND-00049,REQ-00170,CLI-002,REC-017,Pharmacy Technician,Healthcare,Memphis,TN,onsite,Contract-to-Hire,4.4,recruiter_sourced,39.25,45.45,23,2025-02-13,2025-03-05,2025-03-17,2025-03-21,2025-04-07,2025-05-01,True,True,joined_late,2025-05-01,held_out_test,2025-01-20,Client_Beta_HealthSystem,Healthcare,slow,market,onsite,Marcus,Team_Healthcare,22,fast,high,20,12,4,17,24.0,6.200000000000003,15.796178343949052,14,8
APP-00050,CAND-00050,REQ-00080,CLI-009,REC-013,Process Engineer,Engineering,Pittsburgh,PA,onsite,Direct Hire,7.7,job_board,27.62,33.4,0,2024-10-30,2024-11-11,2024-11-22,2024-11-27,2024-12-08,2024-12-08,True,True,joined_on_time,2024-12-08,discovery,2024-10-15,Client_Iota_Industrial,Engineering,medium,market,onsite,Kevin,Team_Technical,14,fast,medium,12,11,5,11,0.0,5.779999999999998,20.926864590876168,6,9
APP-00051,CAND-00051,REQ-00162,CLI-005,REC-015,General Laborer,Light Industrial,Charlotte,NC,onsite,Contract-to-Hire,3.9,job_board,18.53,19.6,19,2025-01-17,2025-02-06,2025-02-20,2025-02-23,2025-03-13,,True,False,declined_offer,2025-02-23,discovery,2024-12-31,Client_Epsilon_Manufacturing,Engineering;Light Industrial,slow,below_market,onsite,Omar,Team_Commercial,4,slow,medium,20,14,3,18,,1.0700000000000003,5.774419859686995,6,5
APP-00052,CAND-00052,REQ-00055,CLI-002,REC-014,Certified Nursing Assistant,Healthcare,Memphis,TN,onsite,Contract-to-Hire,2.2,job_board,,35.71,13,2024-03-06,2024-03-11,2024-03-24,2024-03-27,2024-04-23,,True,True,accepted_no_show,2024-04-23,hypothesis_generation,2024-02-17,Client_Beta_HealthSystem,Healthcare,slow,market,onsite,Rachel,Team_Healthcare,22,fast,medium,5,13,3,27,,,,6,7
APP-00053,CAND-00053,REQ-00219,CLI-004,REC-004,Business Systems Analyst,IT/Technology,Philadelphia,PA,remote,Contract-to-Hire,6.0,job_board,50.04,59.43,20,2025-01-04,2025-01-15,2025-01-21,2025-01-21,2025-02-19,,True,True,accepted_no_show,2025-02-19,discovery,2024-12-01,Client_Delta_SoftwareCo,IT/Technology,medium,above_market,remote,David,Team_Technical,30,fast,high,11,6,0,29,,9.39,18.76498800959233,14,7
APP-00054,CAND-00054,REQ-00119,CLI-009,REC-004,Manufacturing Engineer,Engineering,Kansas City,MO,onsite,Direct Hire,4.4,job_board,33.9,41.77,18,2025-03-03,2025-03-09,2025-03-24,2025-03-26,2025-04-25,,True,False,declined_offer,2025-03-26,hypothesis_generation,2025-01-29,Client_Iota_Industrial,Engineering,medium,market,onsite,David,Team_Technical,30,fast,high,6,15,2,30,,7.8700000000000045,23.215339233038364,12,4
APP-00055,CAND-00055,REQ-00005,CLI-002,REC-002,Certified Nursing Assistant,Healthcare,Columbus,OH,onsite,W2 Contract,4.2,recruiter_sourced,,27.5,9,2025-01-02,2025-01-20,2025-02-06,2025-02-11,2025-02-22,,True,False,declined_offer,2025-02-11,discovery,2024-12-23,Client_Beta_HealthSystem,Healthcare,slow,market,onsite,James,Team_Healthcare,30,fast,low,18,17,5,11,,,,4,4
APP-00056,CAND-00056,REQ-00136,CLI-008,REC-007,Business Systems Analyst,IT/Technology,St. Louis,MO,hybrid,W2 Contract,1.6,career_site,51.9,51.33,3,2024-10-08,2024-10-29,2024-11-07,2024-11-11,2024-12-10,2024-12-09,True,True,joined_on_time,2024-12-09,held_out_test,2024-10-05,Client_Theta_TechScaleup,IT/Technology,fast,market,hybrid,Emily,Team_Technical,22,fast,medium,21,9,4,29,-1.0,-0.5700000000000003,-1.0982658959537577,9,8
