application_id,mechanism_id,mechanism_name
APP-01325,BM-016,Peak-End Rule
APP-01376,BM-001,Status Quo Bias
APP-01408,BM-029,Uncertainty / Ambiguity Aversion
APP-01433,BM-006,Friction
APP-01497,BM-029,Uncertainty / Ambiguity Aversion
APP-01505,BM-006,Friction
APP-01509,BM-029,Uncertainty / Ambiguity Aversion
APP-01561,BM-001,Status Quo Bias
APP-01565,BM-029,Uncertainty / Ambiguity Aversion
APP-01566,BM-006,Friction
APP-01574,BM-029,Uncertainty / Ambiguity Aversion
APP-01631,BM-001,Status Quo Bias
APP-01657,BM-029,Uncertainty / Ambiguity Aversion
APP-01662,BM-001,Status Quo Bias
APP-01672,BM-006,Friction
APP-01687,BM-029,Uncertainty / Ambiguity Aversion
APP-01692,BM-001,Status Quo Bias
APP-01695,BM-006,Friction
APP-01696,BM-001,Status Quo Bias
APP-01700,BM-029,Uncertainty / Ambiguity Aversion
APP-01723,BM-006,Friction
APP-01732,BM-006,Friction
APP-01797,BM-006,Friction
APP-01810,BM-006,Friction
APP-01816,BM-006,Friction
APP-01829,BM-013,Anchoring
APP-01842,BM-006,Friction
APP-01845,BM-029,Uncertainty / Ambiguity Aversion
APP-01871,BM-006,Friction
APP-01875,BM-013,Anchoring
APP-01879,BM-001,Status Quo Bias
APP-01879,BM-029,Uncertainty / Ambiguity Aversion
APP-01880,BM-006,Friction
APP-01952,BM-013,Anchoring
APP-01961,BM-029,Uncertainty / Ambiguity Aversion
APP-01961,BM-006,Friction
APP-01985,BM-029,Uncertainty / Ambiguity Aversion
APP-01987,BM-006,Friction
APP-02020,BM-021,Reactance
APP-02029,BM-029,Uncertainty / Ambiguity Aversion
APP-02034,BM-006,Friction
APP-02043,BM-006,Friction
APP-02058,BM-013,Anchoring
APP-02070,BM-013,Anchoring
APP-02077,BM-006,Friction
APP-02087,BM-029,Uncertainty / Ambiguity Aversion
APP-02106,BM-006,Friction
APP-02111,BM-006,Friction
APP-02113,BM-029,Uncertainty / Ambiguity Aversion
APP-02118,BM-006,Friction
APP-02129,BM-029,Uncertainty / Ambiguity Aversion
APP-02130,BM-029,Uncertainty / Ambiguity Aversion
APP-02134,BM-001,Status Quo Bias
APP-02147,BM-006,Friction
APP-02153,BM-021,Reactance
APP-02172,BM-029,Uncertainty / Ambiguity Aversion
APP-02176,BM-029,Uncertainty / Ambiguity Aversion
APP-02176,BM-006,Friction
APP-02194,BM-029,Uncertainty / Ambiguity Aversion
APP-02196,BM-006,Friction
APP-02203,BM-006,Friction
APP-02218,BM-029,Uncertainty / Ambiguity Aversion
APP-02224,BM-001,Status Quo Bias
APP-02225,BM-006,Friction
APP-02249,BM-006,Friction
APP-02256,BM-010,Endowment Effect
APP-02281,BM-029,Uncertainty / Ambiguity Aversion
APP-02285,BM-001,Status Quo Bias
APP-02306,BM-006,Friction
APP-02320,BM-029,Uncertainty / Ambiguity Aversion
APP-02324,BM-006,Friction
APP-02345,BM-001,Status Quo Bias
APP-02372,BM-006,Friction
APP-02415,BM-006,Friction
APP-02429,BM-006,Friction
APP-02436,BM-006,Friction
APP-02442,BM-006,Friction
APP-02460,BM-029,Uncertainty / Ambiguity Aversion
APP-02469,BM-006,Friction
APP-02475,BM-006,Friction
