journey_stage,scenario_id,scenario_name,mechanism_id,mechanism_name,applications_observed,scenario_share_within_stage,associated_dropoff_count,associated_dropoff_rate,information_gap_count
client_interview_1,AGG-BM-013-client_interview_1,Anchoring — client_interview_1,BM-013,Anchoring,3,0.0029,3,1.0,3
client_interview_1,AGG-BM-014-client_interview_1,Confirmation Bias — client_interview_1,BM-014,Confirmation Bias,36,0.0511,17,0.4722,52
client_interview_1,AGG-BM-018-client_interview_1,Identity Signaling — client_interview_1,BM-018,Identity Signaling,22,0.0265,4,0.1818,27
client_interview_1,AGG-BM-020-client_interview_1,Commitment / Consistency — client_interview_1,BM-020,Commitment / Consistency,26,0.0285,5,0.1923,29
client_interview_1,AGG-BM-021-client_interview_1,Reactance — client_interview_1,BM-021,Reactance,2,0.002,2,1.0,2
client_interview_1,AGG-BM-023-client_interview_1,Goal Gradient — client_interview_1,BM-023,Goal Gradient,60,0.0845,23,0.3833,86
client_interview_1,AGG-BM-029-client_interview_1,Uncertainty / Ambiguity Aversion — client_interview_1,BM-029,Uncertainty / Ambiguity Aversion,121,0.1699,66,0.5455,173
client_interview_2,AGG-BM-001-client_interview_2,Status Quo Bias — client_interview_2,BM-001,Status Quo Bias,23,0.1259,12,0.5217,37
client_interview_2,AGG-BM-002-client_interview_2,Loss Aversion — client_interview_2,BM-002,Loss Aversion,14,0.051,10,0.7143,15
client_interview_2,AGG-BM-005-client_interview_2,Choice Overload — client_interview_2,BM-005,Choice Overload,10,0.0476,9,0.9,14
client_interview_2,AGG-BM-006-client_interview_2,Friction — client_interview_2,BM-006,Friction,51,0.3571,18,0.3529,105
client_interview_2,AGG-BM-011-client_interview_2,Reciprocity — client_interview_2,BM-011,Reciprocity,10,0.0442,4,0.4,13
client_interview_2,AGG-BM-014-client_interview_2,Confirmation Bias — client_interview_2,BM-014,Confirmation Bias,8,0.034,4,0.5,10
client_interview_2,AGG-BM-018-client_interview_2,Identity Signaling — client_interview_2,BM-018,Identity Signaling,6,0.0272,0,0.0,8
client_interview_2,AGG-BM-020-client_interview_2,Commitment / Consistency — client_interview_2,BM-020,Commitment / Consistency,9,0.0306,0,0.0,9
client_interview_2,AGG-BM-023-client_interview_2,Goal Gradient — client_interview_2,BM-023,Goal Gradient,22,0.1054,8,0.3636,31
client_interview_2,AGG-BM-029-client_interview_2,Uncertainty / Ambiguity Aversion — client_interview_2,BM-029,Uncertainty / Ambiguity Aversion,38,0.1769,21,0.5526,52
offer_accepted,AGG-BM-001-offer_accepted,Status Quo Bias — offer_accepted,BM-001,Status Quo Bias,75,0.1629,27,0.36,121
offer_accepted,AGG-BM-002-offer_accepted,Loss Aversion — offer_accepted,BM-002,Loss Aversion,25,0.0363,19,0.76,27
offer_accepted,AGG-BM-005-offer_accepted,Choice Overload — offer_accepted,BM-005,Choice Overload,21,0.0444,10,0.4762,33
offer_accepted,AGG-BM-006-offer_accepted,Friction — offer_accepted,BM-006,Friction,120,0.2974,37,0.3083,221
offer_accepted,AGG-BM-011-offer_accepted,Reciprocity — offer_accepted,BM-011,Reciprocity,37,0.0619,7,0.1892,46
offer_accepted,AGG-BM-013-offer_accepted,Anchoring — offer_accepted,BM-013,Anchoring,2,0.0027,0,0.0,2
offer_accepted,AGG-BM-014-offer_accepted,Confirmation Bias — offer_accepted,BM-014,Confirmation Bias,28,0.0579,6,0.2143,43
offer_accepted,AGG-BM-018-offer_accepted,Identity Signaling — offer_accepted,BM-018,Identity Signaling,25,0.0404,3,0.12,30
offer_accepted,AGG-BM-020-offer_accepted,Commitment / Consistency — offer_accepted,BM-020,Commitment / Consistency,33,0.0511,6,0.1818,38
offer_accepted,AGG-BM-023-offer_accepted,Goal Gradient — offer_accepted,BM-023,Goal Gradient,45,0.0834,15,0.3333,62
offer_accepted,AGG-BM-029-offer_accepted,Uncertainty / Ambiguity Aversion — offer_accepted,BM-029,Uncertainty / Ambiguity Aversion,77,0.1615,29,0.3766,120
offer_extended,AGG-BM-001-offer_extended,Status Quo Bias — offer_extended,BM-001,Status Quo Bias,48,0.1439,30,0.625,61
offer_extended,AGG-BM-002-offer_extended,Loss Aversion — offer_extended,BM-002,Loss Aversion,24,0.059,24,1.0,25
offer_extended,AGG-BM-005-offer_extended,Choice Overload — offer_extended,BM-005,Choice Overload,16,0.0519,8,0.5,22
offer_extended,AGG-BM-006-offer_extended,Friction — offer_extended,BM-006,Friction,90,0.3349,40,0.4444,142
offer_extended,AGG-BM-011-offer_extended,Reciprocity — offer_extended,BM-011,Reciprocity,26,0.066,14,0.5385,28
offer_extended,AGG-BM-014-offer_extended,Confirmation Bias — offer_extended,BM-014,Confirmation Bias,10,0.0307,6,0.6,13
offer_extended,AGG-BM-018-offer_extended,Identity Signaling — offer_extended,BM-018,Identity Signaling,10,0.0259,0,0.0,11
offer_extended,AGG-BM-020-offer_extended,Commitment / Consistency — offer_extended,BM-020,Commitment / Consistency,16,0.0377,4,0.25,16
offer_extended,AGG-BM-023-offer_extended,Goal Gradient — offer_extended,BM-023,Goal Gradient,25,0.0755,11,0.44,32
offer_extended,AGG-BM-029-offer_extended,Uncertainty / Ambiguity Aversion — offer_extended,BM-029,Uncertainty / Ambiguity Aversion,60,0.1745,34,0.5667,74
onboarding_docs_sent,AGG-BM-001-onboarding_docs_sent,Status Quo Bias — onboarding_docs_sent,BM-001,Status Quo Bias,29,0.1233,4,0.1379,36
onboarding_docs_sent,AGG-BM-002-onboarding_docs_sent,Loss Aversion — onboarding_docs_sent,BM-002,Loss Aversion,5,0.0171,0,0.0,5
onboarding_docs_sent,AGG-BM-005-onboarding_docs_sent,Choice Overload — onboarding_docs_sent,BM-005,Choice Overload,4,0.0137,1,0.25,4
onboarding_docs_sent,AGG-BM-006-onboarding_docs_sent,Friction — onboarding_docs_sent,BM-006,Friction,67,0.363,2,0.0299,106
onboarding_docs_sent,AGG-BM-011-onboarding_docs_sent,Reciprocity — onboarding_docs_sent,BM-011,Reciprocity,8,0.0445,0,0.0,13
onboarding_docs_sent,AGG-BM-013-onboarding_docs_sent,Anchoring — onboarding_docs_sent,BM-013,Anchoring,1,0.0034,0,0.0,1
onboarding_docs_sent,AGG-BM-014-onboarding_docs_sent,Confirmation Bias — onboarding_docs_sent,BM-014,Confirmation Bias,11,0.0377,1,0.0909,11
onboarding_docs_sent,AGG-BM-018-onboarding_docs_sent,Identity Signaling — onboarding_docs_sent,BM-018,Identity Signaling,3,0.0137,0,0.0,4
onboarding_docs_sent,AGG-BM-020-onboarding_docs_sent,Commitment / Consistency — onboarding_docs_sent,BM-020,Commitment / Consistency,15,0.0548,1,0.0667,16
onboarding_docs_sent,AGG-BM-023-onboarding_docs_sent,Goal Gradient — onboarding_docs_sent,BM-023,Goal Gradient,27,0.1267,4,0.1481,37
onboarding_docs_sent,AGG-BM-029-onboarding_docs_sent,Uncertainty / Ambiguity Aversion — onboarding_docs_sent,BM-029,Uncertainty / Ambiguity Aversion,41,0.2021,4,0.0976,59
screened,AGG-BM-001-screened,Status Quo Bias — screened,BM-001,Status Quo Bias,62,0.1754,32,0.5161,74
screened,AGG-BM-002-screened,Loss Aversion — screened,BM-002,Loss Aversion,11,0.0261,8,0.7273,11
screened,AGG-BM-005-screened,Choice Overload — screened,BM-005,Choice Overload,24,0.0853,16,0.6667,36
screened,AGG-BM-006-screened,Friction — screened,BM-006,Friction,84,0.2678,42,0.5,113
screened,AGG-BM-010-screened,Endowment Effect — screened,BM-010,Endowment Effect,1,0.0024,1,1.0,1
screened,AGG-BM-011-screened,Reciprocity — screened,BM-011,Reciprocity,24,0.0569,12,0.5,24
screened,AGG-BM-014-screened,Confirmation Bias — screened,BM-014,Confirmation Bias,30,0.0948,16,0.5333,40
screened,AGG-BM-018-screened,Identity Signaling — screened,BM-018,Identity Signaling,5,0.0118,1,0.2,5
screened,AGG-BM-020-screened,Commitment / Consistency — screened,BM-020,Commitment / Consistency,13,0.0308,2,0.1538,13
screened,AGG-BM-023-screened,Goal Gradient — screened,BM-023,Goal Gradient,32,0.0948,18,0.5625,40
screened,AGG-BM-029-screened,Uncertainty / Ambiguity Aversion — screened,BM-029,Uncertainty / Ambiguity Aversion,52,0.154,30,0.5769,65
submitted,AGG-BM-001-submitted,Status Quo Bias — submitted,BM-001,Status Quo Bias,125,0.1717,70,0.56,215
submitted,AGG-BM-002-submitted,Loss Aversion — submitted,BM-002,Loss Aversion,32,0.0327,25,0.7812,41
submitted,AGG-BM-005-submitted,Choice Overload — submitted,BM-005,Choice Overload,33,0.0527,24,0.7273,66
submitted,AGG-BM-006-submitted,Friction — submitted,BM-006,Friction,160,0.2883,67,0.4188,361
submitted,AGG-BM-011-submitted,Reciprocity — submitted,BM-011,Reciprocity,58,0.0623,33,0.569,78
submitted,AGG-BM-014-submitted,Confirmation Bias — submitted,BM-014,Confirmation Bias,37,0.0575,18,0.4865,72
submitted,AGG-BM-018-submitted,Identity Signaling — submitted,BM-018,Identity Signaling,30,0.0264,2,0.0667,33
submitted,AGG-BM-020-submitted,Commitment / Consistency — submitted,BM-020,Commitment / Consistency,39,0.0335,6,0.1538,42
submitted,AGG-BM-023-submitted,Goal Gradient — submitted,BM-023,Goal Gradient,77,0.0847,32,0.4156,106
submitted,AGG-BM-029-submitted,Uncertainty / Ambiguity Aversion — submitted,BM-029,Uncertainty / Ambiguity Aversion,161,0.1901,91,0.5652,238
unknown,AGG-BM-001-unknown,Status Quo Bias — unknown,BM-001,Status Quo Bias,42,0.1714,27,0.6429,48
unknown,AGG-BM-002-unknown,Loss Aversion — unknown,BM-002,Loss Aversion,6,0.0214,6,1.0,6
unknown,AGG-BM-005-unknown,Choice Overload — unknown,BM-005,Choice Overload,9,0.0393,8,0.8889,11
unknown,AGG-BM-006-unknown,Friction — unknown,BM-006,Friction,61,0.3286,25,0.4098,92
unknown,AGG-BM-011-unknown,Reciprocity — unknown,BM-011,Reciprocity,15,0.0571,8,0.5333,16
unknown,AGG-BM-013-unknown,Anchoring — unknown,BM-013,Anchoring,2,0.0071,1,0.5,2
unknown,AGG-BM-014-unknown,Confirmation Bias — unknown,BM-014,Confirmation Bias,11,0.0464,7,0.6364,13
unknown,AGG-BM-018-unknown,Identity Signaling — unknown,BM-018,Identity Signaling,6,0.0214,3,0.5,6
unknown,AGG-BM-020-unknown,Commitment / Consistency — unknown,BM-020,Commitment / Consistency,13,0.05,4,0.3077,14
unknown,AGG-BM-023-unknown,Goal Gradient — unknown,BM-023,Goal Gradient,24,0.1,15,0.625,28
unknown,AGG-BM-029-unknown,Uncertainty / Ambiguity Aversion — unknown,BM-029,Uncertainty / Ambiguity Aversion,33,0.1571,24,0.7273,44
