journey_stage,scenario_id,scenario_name,mechanism_id,mechanism_name,applications_observed,scenario_share_within_stage,associated_dropoff_count,associated_dropoff_rate,information_gap_count,leakage_intensity,behavior_intensity,bpi_mvp_score,relative_priority_band
client_interview_1,AGG-BM-029-client_interview_1,Uncertainty / Ambiguity Aversion — client_interview_1,BM-029,Uncertainty / Ambiguity Aversion,121,0.1699,66,0.5455,173,0.5455,0.4666,0.506,P1_HIGHEST_ATTENTION
client_interview_1,AGG-BM-013-client_interview_1,Anchoring — client_interview_1,BM-013,Anchoring,3,0.0029,3,1.0,3,1.0,0.0052,0.5026,P1_HIGHEST_ATTENTION
screened,AGG-BM-010-screened,Endowment Effect — screened,BM-010,Endowment Effect,1,0.0024,1,1.0,1,1.0,0.0039,0.502,P1_HIGHEST_ATTENTION
client_interview_1,AGG-BM-021-client_interview_1,Reactance — client_interview_1,BM-021,Reactance,2,0.002,2,1.0,2,1.0,0.0028,0.5014,P1_HIGHEST_ATTENTION
background_check,AGG-BM-016-background_check,Peak-End Rule — background_check,BM-016,Peak-End Rule,1,0.001,1,1.0,1,1.0,0.0,0.5,P1_HIGHEST_ATTENTION
screened,AGG-BM-029-screened,Uncertainty / Ambiguity Aversion — screened,BM-029,Uncertainty / Ambiguity Aversion,52,0.154,30,0.5769,65,0.5769,0.4227,0.4998,P1_HIGHEST_ATTENTION
screened,AGG-BM-001-screened,Status Quo Bias — screened,BM-001,Status Quo Bias,62,0.1754,32,0.5161,74,0.5161,0.4818,0.499,P2_HIGH
unknown,AGG-BM-005-unknown,Choice Overload — unknown,BM-005,Choice Overload,9,0.0393,8,0.8889,11,0.8889,0.1058,0.4974,P2_HIGH
background_check,AGG-BM-006-background_check,Friction — background_check,BM-006,Friction,130,0.2783,25,0.1923,285,0.1923,0.766,0.4792,P2_HIGH
client_interview_1,AGG-BM-002-client_interview_1,Loss Aversion — client_interview_1,BM-002,Loss Aversion,34,0.0344,28,0.8235,35,0.8235,0.0923,0.4579,P2_HIGH
screened,AGG-BM-005-screened,Choice Overload — screened,BM-005,Choice Overload,24,0.0853,16,0.6667,36,0.6667,0.2329,0.4498,P2_HIGH
unknown,AGG-BM-023-unknown,Goal Gradient — unknown,BM-023,Goal Gradient,24,0.1,15,0.625,28,0.625,0.2735,0.4492,P2_HIGH
client_interview_1,AGG-BM-005-client_interview_1,Choice Overload — client_interview_1,BM-005,Choice Overload,36,0.0599,26,0.7222,61,0.7222,0.1627,0.4424,P2_HIGH
submitted,AGG-BM-005-submitted,Choice Overload — submitted,BM-005,Choice Overload,33,0.0527,24,0.7273,66,0.7273,0.1428,0.435,P2_HIGH
submitted,AGG-BM-002-submitted,Loss Aversion — submitted,BM-002,Loss Aversion,32,0.0327,25,0.7812,41,0.7812,0.0876,0.4344,P2_HIGH
client_interview_2,AGG-BM-001-client_interview_2,Status Quo Bias — client_interview_2,BM-001,Status Quo Bias,23,0.1259,12,0.5217,37,0.5217,0.345,0.4334,P2_HIGH
offer_accepted,AGG-BM-002-offer_accepted,Loss Aversion — offer_accepted,BM-002,Loss Aversion,25,0.0363,19,0.76,27,0.76,0.0975,0.4288,P2_HIGH
client_interview_2,AGG-BM-002-client_interview_2,Loss Aversion — client_interview_2,BM-002,Loss Aversion,14,0.051,10,0.7143,15,0.7143,0.1381,0.4262,P2_HIGH
screened,AGG-BM-023-screened,Goal Gradient — screened,BM-023,Goal Gradient,32,0.0948,18,0.5625,40,0.5625,0.2591,0.4108,P2_HIGH
offer_accepted,AGG-BM-029-offer_accepted,Uncertainty / Ambiguity Aversion — offer_accepted,BM-029,Uncertainty / Ambiguity Aversion,77,0.1615,29,0.3766,120,0.3766,0.4434,0.41,P2_HIGH
background_check,AGG-BM-002-background_check,Loss Aversion — background_check,BM-002,Loss Aversion,33,0.0332,24,0.7273,34,0.7273,0.089,0.4081,P2_HIGH
offer_accepted,AGG-BM-001-offer_accepted,Status Quo Bias — offer_accepted,BM-001,Status Quo Bias,75,0.1629,27,0.36,121,0.36,0.4472,0.4036,P2_HIGH
screened,AGG-BM-002-screened,Loss Aversion — screened,BM-002,Loss Aversion,11,0.0261,8,0.7273,11,0.7273,0.0693,0.3983,P2_HIGH
background_check,AGG-BM-001-background_check,Status Quo Bias — background_check,BM-001,Status Quo Bias,88,0.1777,27,0.3068,182,0.3068,0.4881,0.3974,P2_HIGH
screened,AGG-BM-014-screened,Confirmation Bias — screened,BM-014,Confirmation Bias,30,0.0948,16,0.5333,40,0.5333,0.2591,0.3962,P2_HIGH
unknown,AGG-BM-014-unknown,Confirmation Bias — unknown,BM-014,Confirmation Bias,11,0.0464,7,0.6364,13,0.6364,0.1254,0.3809,P2_HIGH
submitted,AGG-BM-011-submitted,Reciprocity — submitted,BM-011,Reciprocity,58,0.0623,33,0.569,78,0.569,0.1693,0.3692,P2_HIGH
offer_extended,AGG-BM-011-offer_extended,Reciprocity — offer_extended,BM-011,Reciprocity,26,0.066,14,0.5385,28,0.5385,0.1796,0.359,P2_HIGH
background_check,AGG-BM-029-background_check,Uncertainty / Ambiguity Aversion — background_check,BM-029,Uncertainty / Ambiguity Aversion,110,0.1562,31,0.2818,160,0.2818,0.4287,0.3552,P2_HIGH
client_interview_1,AGG-BM-011-client_interview_1,Reciprocity — client_interview_1,BM-011,Reciprocity,52,0.0707,26,0.5,72,0.5,0.1925,0.3462,P2_HIGH
unknown,AGG-BM-011-unknown,Reciprocity — unknown,BM-011,Reciprocity,15,0.0571,8,0.5333,16,0.5333,0.155,0.3442,P2_HIGH
offer_extended,AGG-BM-014-offer_extended,Confirmation Bias — offer_extended,BM-014,Confirmation Bias,10,0.0307,6,0.6,13,0.6,0.082,0.341,P3_MODERATE
screened,AGG-BM-011-screened,Reciprocity — screened,BM-011,Reciprocity,24,0.0569,12,0.5,24,0.5,0.1544,0.3272,P3_MODERATE
onboarding_docs_sent,AGG-BM-029-onboarding_docs_sent,Uncertainty / Ambiguity Aversion — onboarding_docs_sent,BM-029,Uncertainty / Ambiguity Aversion,41,0.2021,4,0.0976,59,0.0976,0.5555,0.3266,P3_MODERATE
client_interview_2,AGG-BM-023-client_interview_2,Goal Gradient — client_interview_2,BM-023,Goal Gradient,22,0.1054,8,0.3636,31,0.3636,0.2884,0.326,P3_MODERATE
submitted,AGG-BM-023-submitted,Goal Gradient — submitted,BM-023,Goal Gradient,77,0.0847,32,0.4156,106,0.4156,0.2312,0.3234,P3_MODERATE
offer_extended,AGG-BM-023-offer_extended,Goal Gradient — offer_extended,BM-023,Goal Gradient,25,0.0755,11,0.44,32,0.44,0.2058,0.3229,P3_MODERATE
submitted,AGG-BM-014-submitted,Confirmation Bias — submitted,BM-014,Confirmation Bias,37,0.0575,18,0.4865,72,0.4865,0.1561,0.3213,P3_MODERATE
offer_extended,AGG-BM-005-offer_extended,Choice Overload — offer_extended,BM-005,Choice Overload,16,0.0519,8,0.5,22,0.5,0.1406,0.3203,P3_MODERATE
client_interview_1,AGG-BM-023-client_interview_1,Goal Gradient — client_interview_1,BM-023,Goal Gradient,60,0.0845,23,0.3833,86,0.3833,0.2307,0.307,P3_MODERATE
client_interview_1,AGG-BM-014-client_interview_1,Confirmation Bias — client_interview_1,BM-014,Confirmation Bias,36,0.0511,17,0.4722,52,0.4722,0.1384,0.3053,P3_MODERATE
offer_accepted,AGG-BM-005-offer_accepted,Choice Overload — offer_accepted,BM-005,Choice Overload,21,0.0444,10,0.4762,33,0.4762,0.1199,0.2981,P3_MODERATE
client_interview_2,AGG-BM-014-client_interview_2,Confirmation Bias — client_interview_2,BM-014,Confirmation Bias,8,0.034,4,0.5,10,0.5,0.0912,0.2956,P3_MODERATE
offer_accepted,AGG-BM-023-offer_accepted,Goal Gradient — offer_accepted,BM-023,Goal Gradient,45,0.0834,15,0.3333,62,0.3333,0.2276,0.2804,P3_MODERATE
unknown,AGG-BM-018-unknown,Identity Signaling — unknown,BM-018,Identity Signaling,6,0.0214,3,0.5,6,0.5,0.0564,0.2782,P3_MODERATE
background_check,AGG-BM-023-background_check,Goal Gradient — background_check,BM-023,Goal Gradient,78,0.123,17,0.2179,126,0.2179,0.337,0.2775,P3_MODERATE
client_interview_2,AGG-BM-011-client_interview_2,Reciprocity — client_interview_2,BM-011,Reciprocity,10,0.0442,4,0.4,13,0.4,0.1193,0.2596,P3_MODERATE
unknown,AGG-BM-013-unknown,Anchoring — unknown,BM-013,Anchoring,2,0.0071,1,0.5,2,0.5,0.0169,0.2584,P3_MODERATE
onboarding_docs_sent,AGG-BM-023-onboarding_docs_sent,Goal Gradient — onboarding_docs_sent,BM-023,Goal Gradient,27,0.1267,4,0.1481,37,0.1481,0.3472,0.2476,P3_MODERATE
background_check,AGG-BM-011-background_check,Reciprocity — background_check,BM-011,Reciprocity,51,0.0723,15,0.2941,74,0.2941,0.197,0.2456,P3_MODERATE
onboarding_docs_sent,AGG-BM-001-onboarding_docs_sent,Status Quo Bias — onboarding_docs_sent,BM-001,Status Quo Bias,29,0.1233,4,0.1379,36,0.1379,0.3378,0.2378,P3_MODERATE
unknown,AGG-BM-020-unknown,Commitment / Consistency — unknown,BM-020,Commitment / Consistency,13,0.05,4,0.3077,14,0.3077,0.1354,0.2215,P3_MODERATE
background_check,AGG-BM-014-background_check,Confirmation Bias — background_check,BM-014,Confirmation Bias,23,0.043,6,0.2609,44,0.2609,0.116,0.1884,P3_MODERATE
offer_accepted,AGG-BM-014-offer_accepted,Confirmation Bias — offer_accepted,BM-014,Confirmation Bias,28,0.0579,6,0.2143,43,0.2143,0.1572,0.1858,P3_MODERATE
offer_accepted,AGG-BM-011-offer_accepted,Reciprocity — offer_accepted,BM-011,Reciprocity,37,0.0619,7,0.1892,46,0.1892,0.1682,0.1787,P3_MODERATE
background_check,AGG-BM-005-background_check,Choice Overload — background_check,BM-005,Choice Overload,24,0.0381,6,0.25,39,0.25,0.1025,0.1762,P4_LOWER_PRIORITY
offer_extended,AGG-BM-020-offer_extended,Commitment / Consistency — offer_extended,BM-020,Commitment / Consistency,16,0.0377,4,0.25,16,0.25,0.1014,0.1757,P4_LOWER_PRIORITY
offer_accepted,AGG-BM-020-offer_accepted,Commitment / Consistency — offer_accepted,BM-020,Commitment / Consistency,33,0.0511,6,0.1818,38,0.1818,0.1384,0.1601,P4_LOWER_PRIORITY
onboarding_docs_sent,AGG-BM-005-onboarding_docs_sent,Choice Overload — onboarding_docs_sent,BM-005,Choice Overload,4,0.0137,1,0.25,4,0.25,0.0351,0.1426,P4_LOWER_PRIORITY
client_interview_1,AGG-BM-020-client_interview_1,Commitment / Consistency — client_interview_1,BM-020,Commitment / Consistency,26,0.0285,5,0.1923,29,0.1923,0.076,0.1342,P4_LOWER_PRIORITY
client_interview_1,AGG-BM-018-client_interview_1,Identity Signaling — client_interview_1,BM-018,Identity Signaling,22,0.0265,4,0.1818,27,0.1818,0.0704,0.1261,P4_LOWER_PRIORITY
submitted,AGG-BM-020-submitted,Commitment / Consistency — submitted,BM-020,Commitment / Consistency,39,0.0335,6,0.1538,42,0.1538,0.0898,0.1218,P4_LOWER_PRIORITY
screened,AGG-BM-020-screened,Commitment / Consistency — screened,BM-020,Commitment / Consistency,13,0.0308,2,0.1538,13,0.1538,0.0823,0.118,P4_LOWER_PRIORITY
screened,AGG-BM-018-screened,Identity Signaling — screened,BM-018,Identity Signaling,5,0.0118,1,0.2,5,0.2,0.0298,0.1149,P4_LOWER_PRIORITY
offer_accepted,AGG-BM-018-offer_accepted,Identity Signaling — offer_accepted,BM-018,Identity Signaling,25,0.0404,3,0.12,30,0.12,0.1088,0.1144,P4_LOWER_PRIORITY
onboarding_docs_sent,AGG-BM-020-onboarding_docs_sent,Commitment / Consistency — onboarding_docs_sent,BM-020,Commitment / Consistency,15,0.0548,1,0.0667,16,0.0667,0.1486,0.1076,P4_LOWER_PRIORITY
background_check,AGG-BM-020-background_check,Commitment / Consistency — background_check,BM-020,Commitment / Consistency,35,0.042,3,0.0857,43,0.0857,0.1133,0.0995,P4_LOWER_PRIORITY
onboarding_docs_sent,AGG-BM-014-onboarding_docs_sent,Confirmation Bias — onboarding_docs_sent,BM-014,Confirmation Bias,11,0.0377,1,0.0909,11,0.0909,0.1014,0.0962,P4_LOWER_PRIORITY
submitted,AGG-BM-018-submitted,Identity Signaling — submitted,BM-018,Identity Signaling,30,0.0264,2,0.0667,33,0.0667,0.0702,0.0684,P4_LOWER_PRIORITY
background_check,AGG-BM-018-background_check,Identity Signaling — background_check,BM-018,Identity Signaling,29,0.0352,1,0.0345,36,0.0345,0.0945,0.0645,P4_LOWER_PRIORITY
onboarding_docs_sent,AGG-BM-011-onboarding_docs_sent,Reciprocity — onboarding_docs_sent,BM-011,Reciprocity,8,0.0445,0,0.0,13,0.0,0.1202,0.0601,P4_LOWER_PRIORITY
client_interview_2,AGG-BM-020-client_interview_2,Commitment / Consistency — client_interview_2,BM-020,Commitment / Consistency,9,0.0306,0,0.0,9,0.0,0.0818,0.0409,P4_LOWER_PRIORITY
client_interview_2,AGG-BM-018-client_interview_2,Identity Signaling — client_interview_2,BM-018,Identity Signaling,6,0.0272,0,0.0,8,0.0,0.0724,0.0362,P4_LOWER_PRIORITY
offer_extended,AGG-BM-018-offer_extended,Identity Signaling — offer_extended,BM-018,Identity Signaling,10,0.0259,0,0.0,11,0.0,0.0688,0.0344,P4_LOWER_PRIORITY
onboarding_docs_sent,AGG-BM-002-onboarding_docs_sent,Loss Aversion — onboarding_docs_sent,BM-002,Loss Aversion,5,0.0171,0,0.0,5,0.0,0.0445,0.0222,P4_LOWER_PRIORITY
onboarding_docs_sent,AGG-BM-018-onboarding_docs_sent,Identity Signaling — onboarding_docs_sent,BM-018,Identity Signaling,3,0.0137,0,0.0,4,0.0,0.0351,0.0176,P4_LOWER_PRIORITY
onboarding_docs_sent,AGG-BM-013-onboarding_docs_sent,Anchoring — onboarding_docs_sent,BM-013,Anchoring,1,0.0034,0,0.0,1,0.0,0.0066,0.0033,P4_LOWER_PRIORITY
offer_accepted,AGG-BM-013-offer_accepted,Anchoring — offer_accepted,BM-013,Anchoring,2,0.0027,0,0.0,2,0.0,0.0047,0.0024,P4_LOWER_PRIORITY
client_interview_1,AGG-BM-010-client_interview_1,Endowment Effect — client_interview_1,BM-010,Endowment Effect,1,0.001,0,0.0,1,0.0,0.0,0.0,P4_LOWER_PRIORITY
