journey_stage,mechanism_id,mechanism_name,application_id,evidence_id,outcome,dropoff,mapping_source
client_interview_1,BM-006,Friction,APP-00016,EV-4782ac2627b0,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-006,Friction,APP-00016,EV-8daea3620bdc,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-006,Friction,APP-00016,EV-003d93c9f5cb,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-006,Friction,APP-00016,EV-375795f1a733,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-006,Friction,APP-00016,EV-ae78582006d5,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-006,Friction,APP-00016,EV-54dc8dcbb134,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-006,Friction,APP-00016,EV-6996e6a012cc,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-006,Friction,APP-00016,EV-9209262a0521,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-006,Friction,APP-00016,EV-207374c71426,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-006,Friction,APP-00016,EV-d33af62d5196,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-020,Commitment / Consistency,APP-00017,EV-2b640b44c1b3,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-018,Identity Signaling,APP-00017,EV-e8c524c2ff7f,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-006,Friction,APP-00020,EV-bf71b5283c13,withdrew_post_acceptance,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-006,Friction,APP-00020,EV-8e98019844c5,withdrew_post_acceptance,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-029,Uncertainty / Ambiguity Aversion,APP-00020,EV-f9968ec3ff13,withdrew_post_acceptance,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-006,Friction,APP-00020,EV-fae4f05e1938,withdrew_post_acceptance,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-006,Friction,APP-00020,EV-239086876abd,withdrew_post_acceptance,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-006,Friction,APP-00020,EV-5623f0cbe7e8,withdrew_post_acceptance,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-002,Loss Aversion,APP-00020,EV-474fa9cd56a0,withdrew_post_acceptance,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-020,Commitment / Consistency,APP-00024,EV-acdefe8d01c1,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-002,Loss Aversion,APP-00026,EV-81ac4fa672d9,withdrew_post_acceptance,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-020,Commitment / Consistency,APP-00028,EV-f397eae7a8c5,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-011,Reciprocity,APP-00028,EV-1ffaf722f6ff,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-020,Commitment / Consistency,APP-00028,EV-5c340eaada1e,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-011,Reciprocity,APP-00028,EV-46cc4bbbf559,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
onboarding_docs_sent,BM-020,Commitment / Consistency,APP-00028,EV-9421e7e41574,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-006,Friction,APP-00030,EV-13e62439b0de,withdrew_post_acceptance,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
unknown,BM-029,Uncertainty / Ambiguity Aversion,APP-00032,EV-2da13c01cc11,declined_offer,True,HUMAN_REVIEWED
screened,BM-006,Friction,APP-00033,EV-fce68074f527,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-002,Loss Aversion,APP-00034,EV-cbe2663b03f7,withdrew_post_acceptance,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-011,Reciprocity,APP-00035,EV-e850c1498cba,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-029,Uncertainty / Ambiguity Aversion,APP-00036,EV-003be45f1be0,joined_late,False,HUMAN_REVIEWED
client_interview_1,BM-029,Uncertainty / Ambiguity Aversion,APP-00036,EV-7a303ee54cc9,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-023,Goal Gradient,APP-00036,EV-f0f54bd7801e,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-001,Status Quo Bias,APP-00036,EV-23365d5ac5d3,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-001,Status Quo Bias,APP-00036,EV-9dcb6059bbe0,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-023,Goal Gradient,APP-00036,EV-9a177f29e5ab,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
onboarding_docs_sent,BM-023,Goal Gradient,APP-00036,EV-7528d04cfa0b,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
onboarding_docs_sent,BM-023,Goal Gradient,APP-00036,EV-dff6ae324fe4,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
onboarding_docs_sent,BM-029,Uncertainty / Ambiguity Aversion,APP-00036,EV-b57dc69b7b6e,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
onboarding_docs_sent,BM-023,Goal Gradient,APP-00036,EV-a3fb5688600e,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
onboarding_docs_sent,BM-001,Status Quo Bias,APP-00036,EV-b3e94a9beaf5,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
onboarding_docs_sent,BM-001,Status Quo Bias,APP-00036,EV-bc358a87efcf,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-029,Uncertainty / Ambiguity Aversion,APP-00037,EV-d59049c46dfe,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-029,Uncertainty / Ambiguity Aversion,APP-00037,EV-deb5f83a443b,accepted_no_show,True,HUMAN_REVIEWED
client_interview_1,BM-006,Friction,APP-00039,EV-c68d5ef1c6ba,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-006,Friction,APP-00039,EV-e85d5df18376,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-006,Friction,APP-00039,EV-d76ebcce8efa,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-006,Friction,APP-00039,EV-c23c4f6f8c42,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-006,Friction,APP-00039,EV-4bfd1a132925,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
onboarding_docs_sent,BM-006,Friction,APP-00039,EV-b427710e38e5,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-018,Identity Signaling,APP-00043,EV-5f32962b9bed,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-013,Anchoring,APP-00044,EV-4c02bf717d1c,joined_on_time,False,HUMAN_REVIEWED
unknown,BM-006,Friction,APP-00045,EV-80625c7ccbd3,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-006,Friction,APP-00045,EV-323fa8dd4cce,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-006,Friction,APP-00045,EV-cf9357ed66b7,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-006,Friction,APP-00045,EV-8ecc66e4278a,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-006,Friction,APP-00045,EV-c4678c5d3395,joined_on_time,False,HUMAN_REVIEWED
client_interview_1,BM-006,Friction,APP-00045,EV-fa9463a897a1,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_2,BM-006,Friction,APP-00045,EV-a49ac390e489,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_extended,BM-006,Friction,APP-00045,EV-b3199845c3f9,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-006,Friction,APP-00045,EV-3061cd90a8b5,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
onboarding_docs_sent,BM-006,Friction,APP-00045,EV-3e006ea895c5,joined_on_time,False,HUMAN_REVIEWED
unknown,BM-005,Choice Overload,APP-00047,EV-3bb3addae981,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-029,Uncertainty / Ambiguity Aversion,APP-00047,EV-ae51980aa95c,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-005,Choice Overload,APP-00047,EV-a9e41b8dd34a,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-005,Choice Overload,APP-00047,EV-bad347176f5e,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-005,Choice Overload,APP-00047,EV-265c958b3dd6,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-005,Choice Overload,APP-00047,EV-6d4140bf9a6a,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-005,Choice Overload,APP-00047,EV-5211c6e9f7c6,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-002,Loss Aversion,APP-00048,EV-9cc0b640c74d,withdrew_post_acceptance,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-020,Commitment / Consistency,APP-00050,EV-08c774cbac91,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-006,Friction,APP-00050,EV-ef294bae27e1,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
unknown,BM-029,Uncertainty / Ambiguity Aversion,APP-00051,EV-4509fd1b23b4,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
unknown,BM-029,Uncertainty / Ambiguity Aversion,APP-00051,EV-2453153c9993,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-029,Uncertainty / Ambiguity Aversion,APP-00051,EV-a91cf5bcd0dd,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-029,Uncertainty / Ambiguity Aversion,APP-00051,EV-87fb9955e9da,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-029,Uncertainty / Ambiguity Aversion,APP-00053,EV-27b86d028d25,accepted_no_show,True,HUMAN_REVIEWED
background_check,BM-014,Confirmation Bias,APP-00053,EV-ecce218b2301,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-029,Uncertainty / Ambiguity Aversion,APP-00053,EV-a8d743deb623,accepted_no_show,True,HUMAN_REVIEWED
background_check,BM-014,Confirmation Bias,APP-00053,EV-b51b96b1bb1f,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-014,Confirmation Bias,APP-00053,EV-dc8b1ad6e86a,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-014,Confirmation Bias,APP-00053,EV-fb9fd019c707,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-014,Confirmation Bias,APP-00053,EV-23ae2707e5d1,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-014,Confirmation Bias,APP-00053,EV-f137b2ffe736,accepted_no_show,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-006,Friction,APP-00055,EV-c5902f7d9902,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-006,Friction,APP-00055,EV-f5c6f52e9825,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-006,Friction,APP-00055,EV-d99001ca4cb7,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-006,Friction,APP-00055,EV-3a0682b6ea74,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-002,Loss Aversion,APP-00055,EV-b19a7d6f914f,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-029,Uncertainty / Ambiguity Aversion,APP-00059,EV-779ec5f5aa84,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-029,Uncertainty / Ambiguity Aversion,APP-00059,EV-4407766ec782,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_2,BM-029,Uncertainty / Ambiguity Aversion,APP-00059,EV-a3a6d9e71693,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-029,Uncertainty / Ambiguity Aversion,APP-00059,EV-1ee608e9d8b9,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-029,Uncertainty / Ambiguity Aversion,APP-00059,EV-4035749debcd,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-029,Uncertainty / Ambiguity Aversion,APP-00059,EV-26942843b0c7,joined_on_time,False,HUMAN_REVIEWED
background_check,BM-029,Uncertainty / Ambiguity Aversion,APP-00059,EV-aa8131f2ae84,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-029,Uncertainty / Ambiguity Aversion,APP-00059,EV-3992bf95675a,joined_on_time,False,HUMAN_REVIEWED
submitted,BM-006,Friction,APP-00062,EV-0bc457364011,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_2,BM-006,Friction,APP-00062,EV-ed65874e8412,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-006,Friction,APP-00062,EV-47ba679cae29,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
onboarding_docs_sent,BM-006,Friction,APP-00062,EV-e41d7d485ba0,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
onboarding_docs_sent,BM-006,Friction,APP-00062,EV-f0c30cc95cea,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-029,Uncertainty / Ambiguity Aversion,APP-00063,EV-5c9d6f0007f6,joined_on_time,False,HUMAN_REVIEWED
client_interview_1,BM-011,Reciprocity,APP-00063,EV-3cf0d2877c04,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-011,Reciprocity,APP-00063,EV-5868acd3700f,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_extended,BM-011,Reciprocity,APP-00063,EV-e8656d96f058,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-011,Reciprocity,APP-00063,EV-333b8b674a38,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-011,Reciprocity,APP-00063,EV-22b36ae19753,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_2,BM-006,Friction,APP-00066,EV-460cdf4091c9,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-023,Goal Gradient,APP-00068,EV-bb7a05a647d3,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-023,Goal Gradient,APP-00068,EV-52782f2b1159,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-005,Choice Overload,APP-00070,EV-4c88edca9dba,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-005,Choice Overload,APP-00070,EV-545d5883f2a7,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-005,Choice Overload,APP-00070,EV-3698f4764774,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-005,Choice Overload,APP-00070,EV-11dd6933029f,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-005,Choice Overload,APP-00070,EV-b0241df9bf1a,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_extended,BM-005,Choice Overload,APP-00070,EV-b1cd7d1909c7,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_extended,BM-029,Uncertainty / Ambiguity Aversion,APP-00070,EV-efc9cfbc50e7,declined_offer,True,HUMAN_REVIEWED
offer_extended,BM-005,Choice Overload,APP-00070,EV-6695c5b91e1f,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_extended,BM-005,Choice Overload,APP-00070,EV-28f6d5467774,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-011,Reciprocity,APP-00071,EV-a46fddffeadf,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-029,Uncertainty / Ambiguity Aversion,APP-00072,EV-86c880bbcdf8,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
screened,BM-029,Uncertainty / Ambiguity Aversion,APP-00072,EV-8cbc4304b48c,joined_on_time,False,HUMAN_REVIEWED
submitted,BM-029,Uncertainty / Ambiguity Aversion,APP-00072,EV-10b525790c70,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-029,Uncertainty / Ambiguity Aversion,APP-00072,EV-cfad8b19d230,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_extended,BM-029,Uncertainty / Ambiguity Aversion,APP-00072,EV-02a7a8e06ae3,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-029,Uncertainty / Ambiguity Aversion,APP-00072,EV-421ad6e8707c,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-006,Friction,APP-00073,EV-2eb0d7708b39,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-006,Friction,APP-00073,EV-d69cce1b2af8,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_extended,BM-006,Friction,APP-00073,EV-c2c665850001,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_extended,BM-006,Friction,APP-00073,EV-09dff6e572b4,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_extended,BM-006,Friction,APP-00073,EV-a32289814177,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-006,Friction,APP-00073,EV-9d44587fedd5,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_2,BM-020,Commitment / Consistency,APP-00076,EV-6050ff7b6ab5,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_2,BM-018,Identity Signaling,APP-00076,EV-3e57ab1738f9,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_2,BM-018,Identity Signaling,APP-00076,EV-38d623636995,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-020,Commitment / Consistency,APP-00076,EV-2da561921c6c,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
background_check,BM-018,Identity Signaling,APP-00076,EV-9dc55e047d3c,joined_on_time,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-006,Friction,APP-00079,EV-1dd2c054a2ab,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
submitted,BM-006,Friction,APP-00079,EV-53770fe2b17c,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-006,Friction,APP-00079,EV-e22a2ec025be,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-006,Friction,APP-00079,EV-1b887de89356,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
offer_accepted,BM-006,Friction,APP-00079,EV-7da16f874210,joined_late,False,HUMAN_REVIEWED
onboarding_docs_sent,BM-006,Friction,APP-00079,EV-697f0a847314,joined_late,False,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
unknown,BM-029,Uncertainty / Ambiguity Aversion,APP-00080,EV-7ecdacf1e6f5,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
client_interview_1,BM-029,Uncertainty / Ambiguity Aversion,APP-00080,EV-2843eabbef53,declined_offer,True,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
