event_id,application_id,stage_name,stage_timestamp,days_in_prior_stage
EVT-000110,APP-00016,onboarding_docs_sent,2025-03-09,8
EVT-000111,APP-00017,screened,2024-02-21,0
EVT-000112,APP-00017,submitted,2024-02-22,1
EVT-000113,APP-00017,client_interview_1,2024-02-26,4
EVT-000114,APP-00017,offer_extended,2024-03-03,6
EVT-000115,APP-00017,offer_accepted,2024-03-03,0
EVT-000116,APP-00017,background_check,2024-03-04,1
EVT-000117,APP-00017,onboarding_docs_sent,2024-04-03,30
EVT-000118,APP-00017,start_date,2024-04-04,1
EVT-000119,APP-00018,screened,2024-05-18,0
EVT-000120,APP-00018,submitted,2024-05-21,3
EVT-000121,APP-00018,client_interview_1,2024-05-31,10
EVT-000122,APP-00018,client_interview_2,2024-06-08,8
EVT-000123,APP-00018,offer_extended,2024-06-17,9
EVT-000124,APP-00018,offer_accepted,2024-06-19,2
EVT-000125,APP-00018,background_check,2024-06-20,1
EVT-000126,APP-00019,screened,2025-04-07,0
EVT-000127,APP-00019,submitted,2025-04-09,2
EVT-000128,APP-00019,client_interview_1,2025-04-20,11
EVT-000129,APP-00019,offer_extended,2025-05-06,16
EVT-000130,APP-00019,offer_accepted,2025-05-09,3
EVT-000131,APP-00019,background_check,2025-05-11,2
EVT-000132,APP-00020,screened,2024-11-09,0
EVT-000133,APP-00020,submitted,2024-11-11,2
EVT-000134,APP-00020,client_interview_1,2024-11-23,12
EVT-000135,APP-00020,offer_extended,2024-11-27,4
EVT-000136,APP-00020,offer_accepted,2024-11-30,3
EVT-000137,APP-00020,background_check,2024-12-01,1
EVT-000138,APP-00021,screened,2025-04-23,0
EVT-000139,APP-00021,submitted,2025-04-27,4
EVT-000140,APP-00021,client_interview_1,2025-05-07,10
EVT-000141,APP-00021,offer_extended,2025-05-14,7
EVT-000142,APP-00021,offer_accepted,2025-05-19,5
EVT-000143,APP-00021,start_date,2025-06-07,19
EVT-000144,APP-00022,screened,2024-11-16,0
EVT-000145,APP-00022,submitted,2024-11-18,2
EVT-000146,APP-00022,client_interview_1,2024-11-18,0
EVT-000147,APP-00022,client_interview_2,2024-11-21,3
EVT-000148,APP-00022,offer_extended,2024-11-22,1
EVT-000149,APP-00022,offer_accepted,2024-11-27,5
EVT-000150,APP-00022,background_check,2024-12-05,8
EVT-000151,APP-00022,start_date,2024-12-22,17
EVT-000152,APP-00023,screened,2024-11-01,0
EVT-000153,APP-00023,submitted,2024-11-03,2
EVT-000154,APP-00023,client_interview_1,2024-11-07,4
EVT-000155,APP-00023,offer_extended,2024-11-11,4
EVT-000156,APP-00024,screened,2024-07-09,0
EVT-000157,APP-00024,submitted,2024-07-12,3
EVT-000158,APP-00024,client_interview_1,2024-07-22,10
EVT-000159,APP-00024,offer_extended,2024-08-04,13
EVT-000160,APP-00024,offer_accepted,2024-08-07,3
EVT-000161,APP-00024,background_check,2024-08-11,4
EVT-000162,APP-00024,start_date,2024-09-06,26
EVT-000163,APP-00025,screened,2024-05-20,0
EVT-000164,APP-00025,submitted,2024-05-23,3
EVT-000165,APP-00025,client_interview_1,2024-05-27,4
EVT-000166,APP-00025,client_interview_2,2024-06-03,7
EVT-000167,APP-00025,offer_extended,2024-06-13,10
EVT-000168,APP-00025,offer_accepted,2024-06-17,4
EVT-000169,APP-00025,background_check,2024-06-25,8
EVT-000170,APP-00025,onboarding_docs_sent,2024-07-03,8
EVT-000171,APP-00025,start_date,2024-07-06,3
EVT-000172,APP-00026,screened,2024-11-02,0
EVT-000173,APP-00026,submitted,2024-11-05,3
EVT-000174,APP-00026,client_interview_1,2024-11-20,15
EVT-000175,APP-00026,offer_extended,2024-11-28,8
EVT-000176,APP-00026,offer_accepted,2024-11-28,0
EVT-000177,APP-00026,background_check,2024-12-02,4
EVT-000178,APP-00027,screened,2024-06-17,0
EVT-000179,APP-00027,submitted,2024-06-18,1
EVT-000180,APP-00027,client_interview_1,2024-06-30,12
EVT-000181,APP-00027,offer_extended,2024-07-13,13
EVT-000182,APP-00027,offer_accepted,2024-07-18,5
EVT-000183,APP-00027,background_check,2024-07-20,2
EVT-000184,APP-00027,start_date,2024-08-14,25
EVT-000185,APP-00028,screened,2024-10-13,0
EVT-000186,APP-00028,submitted,2024-10-14,1
EVT-000187,APP-00028,client_interview_1,2024-10-30,16
EVT-000188,APP-00028,offer_extended,2024-11-08,9
EVT-000189,APP-00028,offer_accepted,2024-11-08,0
EVT-000190,APP-00028,background_check,2024-11-16,8
EVT-000191,APP-00028,onboarding_docs_sent,2024-11-22,6
EVT-000192,APP-00028,start_date,2024-11-24,2
EVT-000193,APP-00029,screened,2025-06-25,0
EVT-000194,APP-00029,submitted,2025-06-27,2
EVT-000195,APP-00029,client_interview_1,2025-07-12,15
EVT-000196,APP-00029,offer_extended,2025-07-18,6
EVT-000197,APP-00029,offer_accepted,2025-07-22,4
EVT-000198,APP-00029,onboarding_docs_sent,2025-07-24,2
EVT-000199,APP-00029,background_check,2025-07-26,2
EVT-000200,APP-00029,start_date,2025-07-29,3
EVT-000201,APP-00030,screened,2024-04-15,0
EVT-000202,APP-00030,submitted,2024-04-18,3
EVT-000203,APP-00030,client_interview_1,2024-04-25,7
EVT-000204,APP-00030,offer_extended,2024-04-29,4
EVT-000205,APP-00030,offer_accepted,2024-05-02,3
EVT-000206,APP-00030,background_check,2024-05-03,1
EVT-000207,APP-00031,screened,2024-10-14,0
EVT-000208,APP-00031,submitted,2024-10-15,1
EVT-000209,APP-00031,client_interview_1,2024-10-26,11
EVT-000210,APP-00031,offer_extended,2024-11-02,7
EVT-000211,APP-00031,offer_accepted,2024-11-03,1
EVT-000212,APP-00031,background_check,2024-11-05,2
EVT-000213,APP-00031,onboarding_docs_sent,2024-11-20,15
EVT-000214,APP-00032,screened,2024-04-24,0
EVT-000215,APP-00032,submitted,2024-04-26,2
EVT-000216,APP-00032,client_interview_1,2024-05-02,6
EVT-000217,APP-00032,offer_extended,2024-05-10,8
EVT-000218,APP-00033,screened,2025-04-15,0
EVT-000219,APP-00033,submitted,2025-04-19,4
EVT-000220,APP-00033,client_interview_1,2025-05-04,15
EVT-000221,APP-00033,client_interview_2,2025-05-07,3
EVT-000222,APP-00033,offer_extended,2025-05-10,3
EVT-000223,APP-00033,offer_accepted,2025-05-11,1
EVT-000224,APP-00033,background_check,2025-05-13,2
EVT-000225,APP-00033,onboarding_docs_sent,2025-06-05,23
EVT-000226,APP-00033,start_date,2025-06-11,6
EVT-000227,APP-00034,screened,2024-04-25,0
EVT-000228,APP-00034,submitted,2024-04-26,1
EVT-000229,APP-00034,client_interview_1,2024-05-16,20
EVT-000230,APP-00034,offer_extended,2024-05-26,10
EVT-000231,APP-00034,offer_accepted,2024-05-31,5
EVT-000232,APP-00034,background_check,2024-06-03,3
EVT-000233,APP-00035,screened,2024-09-17,0
EVT-000234,APP-00035,submitted,2024-09-21,4
EVT-000235,APP-00035,client_interview_1,2024-10-02,11
EVT-000236,APP-00035,offer_extended,2024-10-11,9
EVT-000237,APP-00035,offer_accepted,2024-10-17,6
EVT-000238,APP-00035,start_date,2024-11-15,29
EVT-000239,APP-00036,screened,2024-06-12,0
EVT-000240,APP-00036,submitted,2024-06-16,4
EVT-000241,APP-00036,client_interview_1,2024-06-24,8
EVT-000242,APP-00036,offer_extended,2024-06-30,6
EVT-000243,APP-00036,offer_accepted,2024-07-02,2
EVT-000244,APP-00036,background_check,2024-07-10,8
EVT-000245,APP-00036,onboarding_docs_sent,2024-07-26,16
EVT-000246,APP-00036,start_date,2024-08-14,19
EVT-000247,APP-00037,screened,2025-05-18,0
EVT-000248,APP-00037,submitted,2025-05-20,2
EVT-000249,APP-00037,client_interview_1,2025-05-25,5
EVT-000250,APP-00037,client_interview_2,2025-05-30,5
EVT-000251,APP-00037,offer_extended,2025-06-10,11
EVT-000252,APP-00037,offer_accepted,2025-06-10,0
EVT-000253,APP-00037,onboarding_docs_sent,2025-06-23,13
EVT-000254,APP-00038,screened,2024-11-04,0
EVT-000255,APP-00038,submitted,2024-11-07,3
EVT-000256,APP-00038,client_interview_1,2024-11-12,5
EVT-000257,APP-00038,client_interview_2,2024-11-21,9
EVT-000258,APP-00038,offer_extended,2024-11-24,3
EVT-000259,APP-00038,offer_accepted,2024-11-28,4
EVT-000260,APP-00038,background_check,2024-12-01,3
EVT-000261,APP-00038,onboarding_docs_sent,2024-12-22,21
EVT-000262,APP-00038,start_date,2025-01-09,18
EVT-000263,APP-00039,screened,2024-12-09,0
EVT-000264,APP-00039,submitted,2024-12-11,2
EVT-000265,APP-00039,client_interview_1,2024-12-12,1
EVT-000266,APP-00039,client_interview_2,2024-12-15,3
EVT-000267,APP-00039,offer_extended,2024-12-16,1
EVT-000268,APP-00039,offer_accepted,2024-12-19,3
EVT-000269,APP-00039,background_check,2024-12-23,4
EVT-000270,APP-00039,onboarding_docs_sent,2025-01-06,14
EVT-000271,APP-00039,start_date,2025-01-28,22
EVT-000272,APP-00040,screened,2025-02-02,0
EVT-000273,APP-00040,submitted,2025-02-03,1
EVT-000274,APP-00040,client_interview_1,2025-02-19,16
EVT-000275,APP-00040,offer_extended,2025-03-02,11
EVT-000276,APP-00041,screened,2025-02-21,0
EVT-000277,APP-00041,submitted,2025-02-24,3
EVT-000278,APP-00041,client_interview_1,2025-03-04,8
EVT-000279,APP-00041,offer_extended,2025-03-07,3
EVT-000280,APP-00041,offer_accepted,2025-03-10,3
EVT-000281,APP-00041,onboarding_docs_sent,2025-03-14,4
EVT-000282,APP-00041,background_check,2025-03-16,2
EVT-000283,APP-00041,start_date,2025-03-19,3
EVT-000284,APP-00042,screened,2024-02-18,0
EVT-000285,APP-00042,submitted,2024-02-21,3
EVT-000286,APP-00042,client_interview_1,2024-02-23,2
EVT-000287,APP-00042,offer_extended,2024-02-29,6
EVT-000288,APP-00042,offer_accepted,2024-02-29,0
EVT-000289,APP-00042,start_date,2024-03-22,22
EVT-000290,APP-00043,screened,2024-12-03,0
EVT-000291,APP-00043,submitted,2024-12-07,4
EVT-000292,APP-00043,client_interview_1,2024-12-22,15
EVT-000293,APP-00043,offer_extended,2024-12-25,3
EVT-000294,APP-00043,offer_accepted,2024-12-25,0
EVT-000295,APP-00043,background_check,2024-12-27,2
EVT-000296,APP-00043,onboarding_docs_sent,2025-01-03,7
EVT-000297,APP-00043,start_date,2025-01-05,2
EVT-000298,APP-00044,screened,2024-04-16,0
EVT-000299,APP-00044,submitted,2024-04-18,2
EVT-000300,APP-00044,client_interview_1,2024-04-27,9
EVT-000301,APP-00044,offer_extended,2024-05-04,7
EVT-000302,APP-00044,offer_accepted,2024-05-07,3
EVT-000303,APP-00044,start_date,2024-06-02,26
EVT-000304,APP-00045,screened,2025-05-08,0
EVT-000305,APP-00045,submitted,2025-05-11,3
EVT-000306,APP-00045,client_interview_1,2025-05-12,1
EVT-000307,APP-00045,client_interview_2,2025-05-22,10
EVT-000308,APP-00045,offer_extended,2025-05-27,5
EVT-000309,APP-00045,offer_accepted,2025-05-31,4
EVT-000310,APP-00045,background_check,2025-06-01,1
EVT-000311,APP-00045,onboarding_docs_sent,2025-06-10,9
EVT-000312,APP-00045,start_date,2025-06-14,4
EVT-000313,APP-00046,screened,2024-03-27,0
EVT-000314,APP-00046,submitted,2024-03-28,1
EVT-000315,APP-00046,client_interview_1,2024-04-15,18
EVT-000316,APP-00046,offer_extended,2024-05-02,17
EVT-000317,APP-00046,offer_accepted,2024-05-03,1
EVT-000318,APP-00046,background_check,2024-05-05,2
EVT-000319,APP-00046,start_date,2024-05-29,24
EVT-000320,APP-00047,screened,2025-02-18,0
EVT-000321,APP-00047,submitted,2025-02-21,3
EVT-000322,APP-00047,client_interview_1,2025-02-23,2
EVT-000323,APP-00047,client_interview_2,2025-02-28,5
EVT-000324,APP-00047,offer_extended,2025-03-03,3
EVT-000325,APP-00048,screened,2024-10-11,0
EVT-000326,APP-00048,submitted,2024-10-13,2
EVT-000327,APP-00048,client_interview_1,2024-10-27,14
EVT-000328,APP-00048,offer_extended,2024-10-30,3
EVT-000329,APP-00048,offer_accepted,2024-11-04,5
EVT-000330,APP-00049,screened,2025-02-16,0
EVT-000331,APP-00049,submitted,2025-02-19,3
EVT-000332,APP-00049,client_interview_1,2025-03-05,14
EVT-000333,APP-00049,offer_extended,2025-03-17,12
EVT-000334,APP-00049,offer_accepted,2025-03-21,4
EVT-000335,APP-00049,background_check,2025-03-23,2
EVT-000336,APP-00049,onboarding_docs_sent,2025-04-04,12
EVT-000337,APP-00049,start_date,2025-05-01,27
EVT-000338,APP-00050,screened,2024-10-30,0
EVT-000339,APP-00050,submitted,2024-10-31,1
EVT-000340,APP-00050,client_interview_1,2024-11-11,11
EVT-000341,APP-00050,client_interview_2,2024-11-15,4
EVT-000342,APP-00050,offer_extended,2024-11-22,7
EVT-000343,APP-00050,offer_accepted,2024-11-27,5
EVT-000344,APP-00050,background_check,2024-12-02,5
EVT-000345,APP-00050,onboarding_docs_sent,2024-12-04,2
EVT-000346,APP-00050,start_date,2024-12-08,4
EVT-000347,APP-00051,screened,2025-01-20,0
EVT-000348,APP-00051,submitted,2025-01-21,1
EVT-000349,APP-00051,client_interview_1,2025-02-06,16
EVT-000350,APP-00051,client_interview_2,2025-02-10,4
EVT-000351,APP-00051,offer_extended,2025-02-20,10
EVT-000352,APP-00052,screened,2024-03-06,0
EVT-000353,APP-00052,submitted,2024-03-09,3
EVT-000354,APP-00052,client_interview_1,2024-03-11,2
EVT-000355,APP-00052,offer_extended,2024-03-24,13
EVT-000356,APP-00052,offer_accepted,2024-03-27,3
EVT-000357,APP-00052,background_check,2024-03-30,3
EVT-000358,APP-00052,onboarding_docs_sent,2024-04-20,21
EVT-000359,APP-00053,screened,2025-01-04,0
EVT-000360,APP-00053,submitted,2025-01-07,3
EVT-000361,APP-00053,client_interview_1,2025-01-15,8
EVT-000362,APP-00053,client_interview_2,2025-01-20,5
EVT-000363,APP-00053,offer_extended,2025-01-21,1
EVT-000364,APP-00053,offer_accepted,2025-01-21,0
EVT-000365,APP-00053,background_check,2025-01-27,6
EVT-000366,APP-00054,screened,2025-03-06,0
EVT-000367,APP-00054,submitted,2025-03-08,2
EVT-000368,APP-00054,client_interview_1,2025-03-09,1
EVT-000369,APP-00054,offer_extended,2025-03-24,15
EVT-000370,APP-00055,screened,2025-01-03,0
EVT-000371,APP-00055,submitted,2025-01-05,2
EVT-000372,APP-00055,client_interview_1,2025-01-20,15
EVT-000373,APP-00055,offer_extended,2025-02-06,17
EVT-000374,APP-00056,screened,2024-10-09,0
EVT-000375,APP-00056,submitted,2024-10-13,4
EVT-000376,APP-00056,client_interview_1,2024-10-29,16
EVT-000377,APP-00056,client_interview_2,2024-11-05,7
EVT-000378,APP-00056,offer_extended,2024-11-07,2
EVT-000379,APP-00056,offer_accepted,2024-11-11,4
EVT-000380,APP-00056,background_check,2024-11-18,7
EVT-000381,APP-00056,start_date,2024-12-09,21
EVT-000382,APP-00057,screened,2025-06-20,0
EVT-000383,APP-00057,submitted,2025-06-23,3
EVT-000384,APP-00057,client_interview_1,2025-07-04,11
EVT-000385,APP-00057,client_interview_2,2025-07-07,3
EVT-000386,APP-00057,offer_extended,2025-07-21,14
EVT-000387,APP-00057,offer_accepted,2025-07-22,1
EVT-000388,APP-00057,background_check,2025-07-23,1
EVT-000389,APP-00057,start_date,2025-08-23,31
EVT-000390,APP-00058,screened,2025-06-18,0
EVT-000391,APP-00058,submitted,2025-06-20,2
EVT-000392,APP-00058,client_interview_1,2025-07-04,14
EVT-000393,APP-00058,offer_extended,2025-07-22,18
EVT-000394,APP-00058,offer_accepted,2025-07-25,3
EVT-000395,APP-00058,background_check,2025-07-30,5
EVT-000396,APP-00059,screened,2025-02-02,0
EVT-000397,APP-00059,submitted,2025-02-04,2
EVT-000398,APP-00059,client_interview_1,2025-02-04,0
EVT-000399,APP-00059,client_interview_2,2025-02-09,5
EVT-000400,APP-00059,offer_extended,2025-02-16,7
EVT-000401,APP-00059,offer_accepted,2025-02-22,6
EVT-000402,APP-00059,background_check,2025-02-27,5
EVT-000403,APP-00059,start_date,2025-03-08,9
EVT-000404,APP-00060,screened,2024-11-21,0
EVT-000405,APP-00060,submitted,2024-11-24,3
EVT-000406,APP-00060,client_interview_1,2024-12-08,14
EVT-000407,APP-00060,offer_extended,2024-12-20,12
EVT-000408,APP-00060,offer_accepted,2024-12-20,0
EVT-000409,APP-00060,background_check,2024-12-26,6
EVT-000410,APP-00060,start_date,2025-01-10,15
EVT-000411,APP-00061,screened,2024-09-16,0
EVT-000412,APP-00061,submitted,2024-09-19,3
EVT-000413,APP-00061,client_interview_1,2024-10-03,14
EVT-000414,APP-00061,client_interview_2,2024-10-09,6
EVT-000415,APP-00061,offer_extended,2024-10-13,4
EVT-000416,APP-00061,offer_accepted,2024-10-15,2
EVT-000417,APP-00061,background_check,2024-10-22,7
EVT-000418,APP-00061,onboarding_docs_sent,2024-10-29,7
EVT-000419,APP-00061,start_date,2024-11-02,4
EVT-000420,APP-00062,screened,2025-02-19,0
EVT-000421,APP-00062,submitted,2025-02-20,1
EVT-000422,APP-00062,client_interview_1,2025-03-05,13
EVT-000423,APP-00062,client_interview_2,2025-03-10,5
EVT-000424,APP-00062,offer_extended,2025-03-16,6
EVT-000425,APP-00062,offer_accepted,2025-03-17,1
EVT-000426,APP-00062,background_check,2025-03-24,7
EVT-000427,APP-00062,onboarding_docs_sent,2025-04-02,9
EVT-000428,APP-00062,start_date,2025-04-08,6
EVT-000429,APP-00063,screened,2025-04-10,0
EVT-000430,APP-00063,submitted,2025-04-13,3
EVT-000431,APP-00063,client_interview_1,2025-04-21,8
EVT-000432,APP-00063,offer_extended,2025-05-04,13
EVT-000433,APP-00063,offer_accepted,2025-05-08,4
EVT-000434,APP-00063,start_date,2025-05-21,13
EVT-000435,APP-00064,screened,2025-05-06,0
EVT-000436,APP-00064,submitted,2025-05-07,1
EVT-000437,APP-00064,client_interview_1,2025-05-20,13
EVT-000438,APP-00064,offer_extended,2025-06-06,17
EVT-000439,APP-00064,offer_accepted,2025-06-12,6
EVT-000440,APP-00064,background_check,2025-06-16,4
EVT-000441,APP-00065,screened,2025-02-08,0
EVT-000442,APP-00065,submitted,2025-02-12,4
EVT-000443,APP-00065,client_interview_1,2025-02-12,0
EVT-000444,APP-00065,offer_extended,2025-02-15,3
EVT-000445,APP-00065,offer_accepted,2025-02-21,6
EVT-000446,APP-00065,background_check,2025-02-25,4
EVT-000447,APP-00065,onboarding_docs_sent,2025-03-10,13
EVT-000448,APP-00065,start_date,2025-03-15,5
EVT-000449,APP-00066,screened,2025-02-03,0
EVT-000450,APP-00066,submitted,2025-02-06,3
EVT-000451,APP-00066,client_interview_1,2025-02-23,17
EVT-000452,APP-00066,client_interview_2,2025-02-25,2
EVT-000453,APP-00066,offer_extended,2025-03-12,15
EVT-000454,APP-00066,offer_accepted,2025-03-12,0
EVT-000455,APP-00066,background_check,2025-03-16,4
EVT-000456,APP-00066,onboarding_docs_sent,2025-04-02,17
EVT-000457,APP-00066,start_date,2025-04-07,5
EVT-000458,APP-00067,screened,2024-08-16,0
EVT-000459,APP-00067,submitted,2024-08-20,4
EVT-000460,APP-00067,client_interview_1,2024-09-03,14
EVT-000461,APP-00067,offer_extended,2024-09-19,16
EVT-000462,APP-00067,offer_accepted,2024-09-24,5
EVT-000463,APP-00067,background_check,2024-10-02,8
EVT-000464,APP-00067,start_date,2024-10-24,22
EVT-000465,APP-00068,screened,2024-11-14,0
EVT-000466,APP-00068,submitted,2024-11-15,1
EVT-000467,APP-00068,client_interview_1,2024-11-27,12
EVT-000468,APP-00068,offer_extended,2024-12-01,4
EVT-000469,APP-00068,offer_accepted,2024-12-05,4
EVT-000470,APP-00068,background_check,2024-12-09,4
EVT-000471,APP-00068,onboarding_docs_sent,2024-12-10,1
EVT-000472,APP-00068,start_date,2024-12-11,1
EVT-000473,APP-00069,screened,2024-02-04,0
EVT-000474,APP-00069,submitted,2024-02-06,2
EVT-000475,APP-00069,client_interview_1,2024-02-19,13
EVT-000476,APP-00069,client_interview_2,2024-02-24,5
EVT-000477,APP-00069,offer_extended,2024-03-03,8
EVT-000478,APP-00069,offer_accepted,2024-03-06,3
EVT-000479,APP-00069,onboarding_docs_sent,2024-03-26,20
EVT-000480,APP-00069,start_date,2024-04-11,16
EVT-000481,APP-00070,screened,2024-02-27,0
EVT-000482,APP-00070,submitted,2024-03-02,4
EVT-000483,APP-00070,client_interview_1,2024-03-14,12
EVT-000484,APP-00070,offer_extended,2024-03-20,6
EVT-000485,APP-00071,screened,2024-06-15,0
EVT-000486,APP-00071,submitted,2024-06-19,4
EVT-000487,APP-00071,client_interview_1,2024-06-30,11
EVT-000488,APP-00071,offer_extended,2024-07-14,14
EVT-000489,APP-00071,offer_accepted,2024-07-20,6
EVT-000490,APP-00071,background_check,2024-07-21,1
EVT-000491,APP-00071,start_date,2024-07-31,10
EVT-000492,APP-00072,screened,2024-02-03,0
EVT-000493,APP-00072,client_interview_1,2024-02-06,3
EVT-000494,APP-00072,submitted,2024-02-07,1
EVT-000495,APP-00072,offer_extended,2024-02-15,8
EVT-000496,APP-00072,offer_accepted,2024-02-16,1
EVT-000497,APP-00072,background_check,2024-02-20,4
EVT-000498,APP-00072,start_date,2024-02-26,6
EVT-000499,APP-00073,screened,2024-04-10,0
EVT-000500,APP-00073,submitted,2024-04-14,4
EVT-000501,APP-00073,client_interview_1,2024-04-27,13
EVT-000502,APP-00073,offer_extended,2024-05-06,9
EVT-000503,APP-00073,offer_accepted,2024-05-10,4
EVT-000504,APP-00073,background_check,2024-05-16,6
EVT-000505,APP-00073,start_date,2024-05-21,5
EVT-000506,APP-00074,screened,2024-07-21,0
EVT-000507,APP-00074,submitted,2024-07-25,4
