candidate_id,application_id,requisition_id,client_account_id,recruiter_id,job_title,job_family,location_city,location_state,work_arrangement,contract_type,years_experience,application_source,pay_rate_prior,pay_rate_offered,application_date,interview_date,offer_date,offer_response_date,expected_start_date,actual_start_date,offer_extended,offer_accepted,final_disposition,disposition_date,notice_period_days,research_split
CAND-00019,APP-00019,REQ-00226,CLI-006,REC-018,Bookkeeper,Finance/Accounting,St. Louis,MO,hybrid,W2 Contract,5.5,reapply,20.9,25.84,2025-04-05,2025-04-20,2025-05-06,2025-05-09,2025-05-26,,True,True,rejected_by_client,2025-05-15,17,held_out_test
CAND-00020,APP-00020,REQ-00059,CLI-002,REC-008,Certified Nursing Assistant,Healthcare,Chicago,IL,remote,Direct Hire,4.9,job_board,42.5,42.39,2024-11-07,2024-11-23,2024-11-27,2024-11-30,2024-12-26,,True,True,withdrew_post_acceptance,2024-12-06,10,discovery
CAND-00021,APP-00021,REQ-00086,CLI-002,REC-002,Registered Nurse,Healthcare,Phoenix,AZ,onsite,W2 Contract,1.0,job_board,38.72,40.43,2025-04-21,2025-05-07,2025-05-14,2025-05-19,2025-06-07,2025-06-07,True,True,joined_on_time,2025-06-07,6,held_out_test
CAND-00022,APP-00022,REQ-00008,CLI-001,REC-015,Shipping/Receiving Clerk,Light Industrial,Houston,TX,onsite,W2 Contract,1.6,referral,13.27,15.85,2024-11-14,2024-11-18,2024-11-22,2024-11-27,2024-12-22,2024-12-22,True,True,joined_on_time,2024-12-22,8,hypothesis_generation
CAND-00023,APP-00023,REQ-00193,CLI-003,REC-003,Senior Accountant,Finance/Accounting,Columbus,OH,hybrid,W2 Contract,4.3,referral,25.21,29.12,2024-10-31,2024-11-07,2024-11-11,2024-11-12,2024-12-15,,True,False,declined_offer,2024-11-12,2,hypothesis_generation
CAND-00024,APP-00024,REQ-00063,CLI-007,REC-011,Certified Nursing Assistant,Healthcare,Dallas,TX,onsite,1099,12.4,referral,33.74,31.89,2024-07-08,2024-07-22,2024-08-04,2024-08-07,2024-09-07,2024-09-06,True,True,joined_on_time,2024-09-06,0,discovery
CAND-00025,APP-00025,REQ-00096,CLI-003,REC-012,Accounts Payable Clerk,Finance/Accounting,Kansas City,MO,hybrid,Direct Hire,8.2,job_board,41.02,42.73,2024-05-19,2024-05-27,2024-06-13,2024-06-17,2024-07-05,2024-07-06,True,True,joined_on_time,2024-07-06,8,held_out_test
CAND-00026,APP-00026,REQ-00095,CLI-001,REC-018,Shipping/Receiving Clerk,Light Industrial,Columbus,OH,onsite,W2 Contract,2.0,job_board,,21.68,2024-11-02,2024-11-20,2024-11-28,2024-11-28,2024-12-12,,True,True,withdrew_post_acceptance,2024-12-12,14,discovery
CAND-00027,APP-00027,REQ-00057,CLI-003,REC-018,AR Specialist,Finance/Accounting,Nashville,TN,hybrid,1099,3.9,career_site,,42.2,2024-06-17,2024-06-30,2024-07-13,2024-07-18,2024-07-25,2024-08-14,True,True,joined_late,2024-08-14,10,hypothesis_generation
CAND-00028,APP-00028,REQ-00028,CLI-009,REC-004,Mechanical Engineer,Engineering,Jacksonville,FL,onsite,W2 Contract,5.6,referral,41.8,42.46,2024-10-11,2024-10-30,2024-11-08,2024-11-08,2024-11-24,2024-11-24,True,True,joined_on_time,2024-11-24,1,discovery
CAND-00029,APP-00029,REQ-00024,CLI-009,REC-001,Mechanical Engineer,Engineering,Jacksonville,FL,onsite,W2 Contract,3.2,recruiter_sourced,32.69,36.16,2025-06-22,2025-07-12,2025-07-18,2025-07-22,2025-07-30,2025-07-29,True,True,joined_on_time,2025-07-29,10,held_out_test
CAND-00030,APP-00030,REQ-00201,CLI-009,REC-013,Mechanical Engineer,Engineering,Tampa,FL,remote,Direct Hire,10.0,career_site,54.18,56.36,2024-04-12,2024-04-25,2024-04-29,2024-05-02,2024-05-23,,True,True,withdrew_post_acceptance,2024-05-19,11,discovery
CAND-00031,APP-00031,REQ-00166,CLI-003,REC-006,Accounts Payable Clerk,Finance/Accounting,Nashville,TN,hybrid,Contract-to-Hire,1.3,career_site,30.01,29.52,2024-10-14,2024-10-26,2024-11-02,2024-11-03,2024-11-22,,True,True,accepted_no_show,2024-11-22,2,held_out_test
CAND-00032,APP-00032,REQ-00010,CLI-002,REC-006,Certified Nursing Assistant,Healthcare,Phoenix,AZ,onsite,W2 Contract,11.2,career_site,25.85,27.06,2024-04-21,2024-05-02,2024-05-10,2024-05-15,2024-06-06,,True,False,declined_offer,2024-05-15,10,discovery
CAND-00033,APP-00033,REQ-00184,CLI-009,REC-013,Mechanical Engineer,Engineering,Tampa,FL,onsite,W2 Contract,4.6,referral,37.67,43.35,2025-04-13,2025-05-04,2025-05-10,2025-05-11,2025-06-10,2025-06-11,True,True,joined_on_time,2025-06-11,8,discovery
CAND-00034,APP-00034,REQ-00076,CLI-005,REC-015,Machine Operator,Light Industrial,Jacksonville,FL,onsite,Direct Hire,4.5,job_board,,21.35,2024-04-25,2024-05-16,2024-05-26,2024-05-31,2024-06-11,,True,True,withdrew_post_acceptance,2024-06-10,0,discovery
CAND-00035,APP-00035,REQ-00037,CLI-003,REC-012,AR Specialist,Finance/Accounting,Jacksonville,FL,hybrid,Contract-to-Hire,1.3,job_board,,35.28,2024-09-14,2024-10-02,2024-10-11,2024-10-17,2024-11-15,2024-11-15,True,True,joined_on_time,2024-11-15,6,discovery
CAND-00036,APP-00036,REQ-00094,CLI-001,REC-018,Forklift Operator,Light Industrial,Orlando,FL,remote,W2 Contract,3.7,recruiter_sourced,17.29,17.72,2024-06-11,2024-06-24,2024-06-30,2024-07-02,2024-08-01,2024-08-14,True,True,joined_late,2024-08-14,18,discovery
CAND-00037,APP-00037,REQ-00089,CLI-008,REC-010,Software Engineer,IT/Technology,Houston,TX,hybrid,W2 Contract,10.1,recruiter_sourced,31.19,36.03,2025-05-15,2025-05-25,2025-06-10,2025-06-10,2025-06-28,,True,True,accepted_no_show,2025-06-28,12,discovery
CAND-00038,APP-00038,REQ-00166,CLI-003,REC-003,Accounts Payable Clerk,Finance/Accounting,Nashville,TN,hybrid,Contract-to-Hire,7.1,career_site,34.88,36.07,2024-11-04,2024-11-12,2024-11-24,2024-11-28,2024-12-27,2025-01-09,True,True,joined_late,2025-01-09,5,held_out_test
CAND-00039,APP-00039,REQ-00113,CLI-005,REC-012,Warehouse Associate,Light Industrial,Orlando,FL,onsite,W2 Contract,1.6,recruiter_sourced,14.92,17.93,2024-12-09,2024-12-12,2024-12-16,2024-12-19,2025-01-11,2025-01-28,True,True,joined_late,2025-01-28,4,discovery
CAND-00040,APP-00040,REQ-00101,CLI-011,REC-014,General Laborer,Light Industrial,Chicago,IL,onsite,Contract-to-Hire,10.4,job_board,20.85,21.34,2025-02-01,2025-02-19,2025-03-02,2025-03-06,2025-03-12,,True,False,declined_offer,2025-03-06,18,hypothesis_generation
CAND-00041,APP-00041,REQ-00075,CLI-009,REC-010,Quality Engineer,Engineering,St. Louis,MO,onsite,Direct Hire,5.1,referral,49.02,47.11,2025-02-18,2025-03-04,2025-03-07,2025-03-10,2025-03-18,2025-03-19,True,True,joined_on_time,2025-03-19,15,hypothesis_generation
CAND-00042,APP-00042,REQ-00022,CLI-009,REC-013,Civil Engineer,Engineering,Phoenix,AZ,remote,1099,1.0,recruiter_sourced,45.96,51.14,2024-02-17,2024-02-23,2024-02-29,2024-02-29,2024-03-22,2024-03-22,True,True,joined_on_time,2024-03-22,12,hypothesis_generation
CAND-00043,APP-00043,REQ-00012,CLI-009,REC-013,Project Engineer,Engineering,Austin,TX,onsite,W2 Contract,3.4,job_board,28.58,30.76,2024-12-03,2024-12-22,2024-12-25,2024-12-25,2025-01-05,2025-01-05,True,True,joined_on_time,2025-01-05,10,discovery
CAND-00044,APP-00044,REQ-00120,CLI-002,REC-014,Phlebotomist,Healthcare,Charlotte,NC,hybrid,W2 Contract,1.4,career_site,35.8,38.93,2024-04-14,2024-04-27,2024-05-04,2024-05-07,2024-06-02,2024-06-02,True,True,joined_on_time,2024-06-02,6,discovery
CAND-00045,APP-00045,REQ-00079,CLI-005,REC-018,Material Handler,Light Industrial,Indianapolis,IN,onsite,1099,3.2,career_site,15.06,17.95,2025-05-06,2025-05-12,2025-05-27,2025-05-31,2025-06-15,2025-06-14,True,True,joined_on_time,2025-06-14,5,discovery
CAND-00046,APP-00046,REQ-00055,CLI-002,REC-017,Certified Nursing Assistant,Healthcare,Memphis,TN,onsite,Contract-to-Hire,4.7,recruiter_sourced,41.9,42.05,2024-03-25,2024-04-15,2024-05-02,2024-05-03,2024-05-28,2024-05-29,True,True,joined_on_time,2024-05-29,12,held_out_test
CAND-00047,APP-00047,REQ-00075,CLI-009,REC-004,Quality Engineer,Engineering,St. Louis,MO,onsite,Direct Hire,2.9,job_board,,39.0,2025-02-17,2025-02-23,2025-03-03,2025-03-03,2025-03-27,,True,False,declined_offer,2025-03-03,18,discovery
CAND-00048,APP-00048,REQ-00103,CLI-007,REC-011,Phlebotomist,Healthcare,Chicago,IL,remote,W2 Contract,3.7,recruiter_sourced,35.52,40.42,2024-10-09,2024-10-27,2024-10-30,2024-11-04,2024-11-13,,True,True,withdrew_post_acceptance,2024-11-13,13,discovery
CAND-00049,APP-00049,REQ-00170,CLI-002,REC-017,Pharmacy Technician,Healthcare,Memphis,TN,onsite,Contract-to-Hire,4.4,recruiter_sourced,39.25,45.45,2025-02-13,2025-03-05,2025-03-17,2025-03-21,2025-04-07,2025-05-01,True,True,joined_late,2025-05-01,23,held_out_test
CAND-00050,APP-00050,REQ-00080,CLI-009,REC-013,Process Engineer,Engineering,Pittsburgh,PA,onsite,Direct Hire,7.7,job_board,27.62,33.4,2024-10-30,2024-11-11,2024-11-22,2024-11-27,2024-12-08,2024-12-08,True,True,joined_on_time,2024-12-08,0,discovery
CAND-00051,APP-00051,REQ-00162,CLI-005,REC-015,General Laborer,Light Industrial,Charlotte,NC,onsite,Contract-to-Hire,3.9,job_board,18.53,19.6,2025-01-17,2025-02-06,2025-02-20,2025-02-23,2025-03-13,,True,False,declined_offer,2025-02-23,19,discovery
CAND-00052,APP-00052,REQ-00055,CLI-002,REC-014,Certified Nursing Assistant,Healthcare,Memphis,TN,onsite,Contract-to-Hire,2.2,job_board,,35.71,2024-03-06,2024-03-11,2024-03-24,2024-03-27,2024-04-23,,True,True,accepted_no_show,2024-04-23,13,hypothesis_generation
CAND-00053,APP-00053,REQ-00219,CLI-004,REC-004,Business Systems Analyst,IT/Technology,Philadelphia,PA,remote,Contract-to-Hire,6.0,job_board,50.04,59.43,2025-01-04,2025-01-15,2025-01-21,2025-01-21,2025-02-19,,True,True,accepted_no_show,2025-02-19,20,discovery
CAND-00054,APP-00054,REQ-00119,CLI-009,REC-004,Manufacturing Engineer,Engineering,Kansas City,MO,onsite,Direct Hire,4.4,job_board,33.9,41.77,2025-03-03,2025-03-09,2025-03-24,2025-03-26,2025-04-25,,True,False,declined_offer,2025-03-26,18,hypothesis_generation
CAND-00055,APP-00055,REQ-00005,CLI-002,REC-002,Certified Nursing Assistant,Healthcare,Columbus,OH,onsite,W2 Contract,4.2,recruiter_sourced,,27.5,2025-01-02,2025-01-20,2025-02-06,2025-02-11,2025-02-22,,True,False,declined_offer,2025-02-11,9,discovery
CAND-00056,APP-00056,REQ-00136,CLI-008,REC-007,Business Systems Analyst,IT/Technology,St. Louis,MO,hybrid,W2 Contract,1.6,career_site,51.9,51.33,2024-10-08,2024-10-29,2024-11-07,2024-11-11,2024-12-10,2024-12-09,True,True,joined_on_time,2024-12-09,3,held_out_test
CAND-00057,APP-00057,REQ-00021,CLI-009,REC-014,Manufacturing Engineer,Engineering,Columbus,OH,hybrid,Direct Hire,3.9,career_site,35.91,38.98,2025-06-19,2025-07-04,2025-07-21,2025-07-22,2025-08-23,2025-08-23,True,True,joined_on_time,2025-08-23,14,held_out_test
CAND-00037,APP-00058,REQ-00095,CLI-001,REC-010,Shipping/Receiving Clerk,Light Industrial,Columbus,OH,onsite,W2 Contract,4.0,career_site,15.32,15.28,2025-06-17,2025-07-04,2025-07-22,2025-07-25,2025-08-05,,True,True,withdrew_post_acceptance,2025-08-03,13,hypothesis_generation
CAND-00058,APP-00059,REQ-00105,CLI-007,REC-002,Registered Nurse,Healthcare,Pittsburgh,PA,onsite,Contract-to-Hire,8.7,referral,30.64,33.71,2025-02-01,2025-02-04,2025-02-16,2025-02-22,2025-03-07,2025-03-08,True,True,joined_on_time,2025-03-08,3,discovery
CAND-00059,APP-00060,REQ-00127,CLI-004,REC-004,Data Analyst,IT/Technology,Philadelphia,PA,remote,Direct Hire,1.0,career_site,35.63,43.05,2024-11-19,2024-12-08,2024-12-20,2024-12-20,2025-01-11,2025-01-10,True,True,joined_on_time,2025-01-10,5,held_out_test
CAND-00060,APP-00061,REQ-00145,CLI-010,REC-012,Office Coordinator,Administrative/Professional,Orlando,FL,onsite,Contract-to-Hire,4.7,job_board,24.22,24.42,2024-09-16,2024-10-03,2024-10-13,2024-10-15,2024-11-01,2024-11-02,True,True,joined_on_time,2024-11-02,12,hypothesis_generation
CAND-00061,APP-00062,REQ-00105,CLI-007,REC-008,Registered Nurse,Healthcare,Pittsburgh,PA,onsite,Contract-to-Hire,5.9,job_board,27.56,33.99,2025-02-16,2025-03-05,2025-03-16,2025-03-17,2025-04-07,2025-04-08,True,True,joined_on_time,2025-04-08,9,discovery
CAND-00062,APP-00063,REQ-00070,CLI-004,REC-017,DevOps Engineer,IT/Technology,Nashville,TN,hybrid,W2 Contract,10.0,referral,62.4,66.27,2025-04-09,2025-04-21,2025-05-04,2025-05-08,2025-05-21,2025-05-21,True,True,joined_on_time,2025-05-21,8,discovery
CAND-00063,APP-00064,REQ-00176,CLI-008,REC-012,Systems Administrator,IT/Technology,Austin,TX,hybrid,W2 Contract,3.0,referral,40.02,43.92,2025-05-04,2025-05-20,2025-06-06,2025-06-12,2025-07-03,,True,True,rejected_by_client,2025-06-19,1,hypothesis_generation
CAND-00064,APP-00065,REQ-00109,CLI-009,REC-013,Electrical Engineer,Engineering,Milwaukee,WI,onsite,Contract-to-Hire,3.3,recruiter_sourced,,35.65,2025-02-06,2025-02-12,2025-02-15,2025-02-21,2025-03-14,2025-03-15,True,True,joined_on_time,2025-03-15,11,hypothesis_generation
CAND-00065,APP-00066,REQ-00162,CLI-005,REC-006,General Laborer,Light Industrial,Charlotte,NC,onsite,Contract-to-Hire,3.9,recruiter_sourced,13.68,16.44,2025-02-02,2025-02-23,2025-03-12,2025-03-12,2025-04-07,2025-04-07,True,True,joined_on_time,2025-04-07,12,discovery
CAND-00066,APP-00067,REQ-00111,CLI-006,REC-018,Senior Accountant,Finance/Accounting,Orlando,FL,hybrid,Direct Hire,3.8,recruiter_sourced,20.47,22.44,2024-08-14,2024-09-03,2024-09-19,2024-09-24,2024-10-24,2024-10-24,True,True,joined_on_time,2024-10-24,8,held_out_test
CAND-00067,APP-00068,REQ-00114,CLI-007,REC-008,Radiology Technician,Healthcare,Atlanta,GA,onsite,W2 Contract,2.9,recruiter_sourced,19.89,22.8,2024-11-13,2024-11-27,2024-12-01,2024-12-05,2024-12-12,2024-12-11,True,True,joined_on_time,2024-12-11,3,discovery
CAND-00068,APP-00069,REQ-00106,CLI-002,REC-004,Certified Nursing Assistant,Healthcare,Atlanta,GA,remote,Direct Hire,1.8,recruiter_sourced,31.86,35.84,2024-02-03,2024-02-19,2024-03-03,2024-03-06,2024-03-27,2024-04-11,True,True,joined_late,2024-04-11,11,hypothesis_generation
CAND-00069,APP-00070,REQ-00099,CLI-002,REC-017,Pharmacy Technician,Healthcare,Milwaukee,WI,onsite,W2 Contract,2.9,job_board,43.11,42.89,2024-02-24,2024-03-14,2024-03-20,2024-03-25,2024-04-06,,True,False,declined_offer,2024-03-25,10,discovery
CAND-00070,APP-00071,REQ-00082,CLI-002,REC-018,Pharmacy Technician,Healthcare,Raleigh,NC,onsite,Contract-to-Hire,1.6,recruiter_sourced,24.93,26.7,2024-06-14,2024-06-30,2024-07-14,2024-07-20,2024-07-31,2024-07-31,True,True,joined_on_time,2024-07-31,6,discovery
CAND-00071,APP-00072,REQ-00129,CLI-010,REC-009,Administrative Assistant,Administrative/Professional,Houston,TX,hybrid,Direct Hire,4.4,job_board,15.34,16.28,2024-02-03,2024-02-06,2024-02-15,2024-02-16,2024-02-27,2024-02-26,True,True,joined_on_time,2024-02-26,1,discovery
CAND-00072,APP-00073,REQ-00222,CLI-011,REC-015,Administrative Assistant,Administrative/Professional,Austin,TX,onsite,W2 Contract,9.7,job_board,15.58,16.74,2024-04-10,2024-04-27,2024-05-06,2024-05-10,2024-05-22,2024-05-21,True,True,joined_on_time,2024-05-21,9,discovery
CAND-00073,APP-00074,REQ-00057,CLI-003,REC-006,AR Specialist,Finance/Accounting,Nashville,TN,hybrid,1099,6.7,recruiter_sourced,24.5,26.32,2024-07-18,2024-07-31,2024-08-09,2024-08-11,2024-08-23,,True,True,withdrew_post_acceptance,2024-08-22,10,hypothesis_generation
CAND-00074,APP-00075,REQ-00094,CLI-001,REC-009,Forklift Operator,Light Industrial,Orlando,FL,remote,W2 Contract,1.7,career_site,,24.17,2024-06-18,2024-06-26,2024-07-11,2024-07-15,2024-08-05,2024-08-04,True,True,joined_on_time,2024-08-04,10,held_out_test
CAND-00075,APP-00076,REQ-00147,CLI-003,REC-014,Senior Accountant,Finance/Accounting,St. Louis,MO,hybrid,1099,2.3,recruiter_sourced,34.14,34.18,2024-06-25,2024-07-11,2024-07-26,2024-07-27,2024-08-14,2024-08-14,True,True,joined_on_time,2024-08-14,17,discovery
CAND-00076,APP-00077,REQ-00197,CLI-004,REC-004,Systems Administrator,IT/Technology,Kansas City,MO,remote,W2 Contract,1.4,career_site,48.34,57.18,2025-06-27,2025-07-14,2025-07-17,2025-07-21,2025-08-09,2025-08-25,True,True,joined_late,2025-08-25,4,held_out_test
CAND-00077,APP-00078,REQ-00117,CLI-004,REC-010,Data Analyst,IT/Technology,Tucson,AZ,remote,Contract-to-Hire,3.8,recruiter_sourced,36.21,42.8,2024-03-13,2024-03-30,2024-04-12,2024-04-12,2024-05-09,2024-05-09,True,True,joined_on_time,2024-05-09,20,discovery
CAND-00078,APP-00079,REQ-00073,CLI-004,REC-016,QA Tester,IT/Technology,Milwaukee,WI,remote,Direct Hire,6.0,career_site,45.26,48.59,2024-06-06,2024-06-27,2024-07-05,2024-07-08,2024-07-21,2024-08-03,True,True,joined_late,2024-08-03,1,discovery
CAND-00079,APP-00080,REQ-00230,CLI-003,REC-006,Financial Analyst,Finance/Accounting,Houston,TX,hybrid,W2 Contract,14.8,referral,29.83,33.38,2025-01-05,2025-01-15,2025-01-23,2025-01-26,2025-02-09,,True,False,declined_offer,2025-01-26,7,discovery
CAND-00080,APP-00081,REQ-00165,CLI-008,REC-010,Network Administrator,IT/Technology,Houston,TX,hybrid,Direct Hire,1.0,recruiter_sourced,47.79,53.24,2024-08-13,2024-09-01,2024-09-18,2024-09-21,2024-10-01,2024-10-01,True,True,joined_on_time,2024-10-01,4,held_out_test
CAND-00081,APP-00082,REQ-00180,CLI-002,REC-005,Certified Nursing Assistant,Healthcare,Jacksonville,FL,remote,W2 Contract,4.0,job_board,,43.35,2024-08-31,2024-09-07,2024-09-09,2024-09-11,2024-10-06,2024-10-07,True,True,joined_on_time,2024-10-07,10,discovery
CAND-00082,APP-00083,REQ-00186,CLI-011,REC-009,Machine Operator,Light Industrial,Indianapolis,IN,onsite,Contract-to-Hire,10.1,job_board,20.57,21.34,2025-07-13,2025-07-23,2025-08-09,2025-08-13,2025-09-08,,True,True,withdrew_post_acceptance,2025-09-04,19,hypothesis_generation
CAND-00083,APP-00084,REQ-00101,CLI-011,REC-018,General Laborer,Light Industrial,Chicago,IL,onsite,Contract-to-Hire,3.0,recruiter_sourced,16.9,19.08,2025-02-10,2025-02-24,2025-03-03,2025-03-04,2025-04-05,2025-04-25,True,True,joined_late,2025-04-25,18,discovery
CAND-00084,APP-00085,REQ-00215,CLI-002,REC-014,Medical Coder,Healthcare,Charlotte,NC,onsite,W2 Contract,4.3,career_site,34.68,37.33,2024-06-30,2024-07-03,2024-07-18,2024-07-19,2024-08-17,,True,False,declined_offer,2024-07-19,0,discovery
CAND-00085,APP-00086,REQ-00082,CLI-002,REC-002,Pharmacy Technician,Healthcare,Raleigh,NC,onsite,Contract-to-Hire,5.3,recruiter_sourced,39.0,40.68,2024-06-24,2024-07-12,2024-07-29,2024-07-29,2024-08-08,,True,True,withdrew_post_acceptance,2024-08-07,5,held_out_test
CAND-00086,APP-00087,REQ-00113,CLI-005,REC-003,Warehouse Associate,Light Industrial,Orlando,FL,onsite,W2 Contract,3.7,recruiter_sourced,16.9,20.3,2024-11-27,2024-12-16,2024-12-31,2025-01-06,2025-01-15,2025-01-14,True,True,joined_on_time,2025-01-14,17,discovery
CAND-00087,APP-00088,REQ-00002,CLI-002,REC-002,Medical Coder,Healthcare,Austin,TX,onsite,W2 Contract,5.5,job_board,28.44,29.29,2025-06-21,2025-07-05,2025-07-15,2025-07-21,2025-08-06,2025-08-05,True,True,joined_on_time,2025-08-05,16,discovery
CAND-00088,APP-00089,REQ-00149,CLI-004,REC-010,DevOps Engineer,IT/Technology,St. Louis,MO,onsite,Contract-to-Hire,5.9,job_board,51.19,52.58,2024-11-16,2024-11-21,2024-11-24,2024-11-24,2024-12-16,,True,True,withdrew_post_acceptance,2024-12-07,13,discovery
CAND-00089,APP-00090,REQ-00106,CLI-002,REC-002,Certified Nursing Assistant,Healthcare,Atlanta,GA,remote,Direct Hire,5.3,job_board,31.28,31.84,2024-02-29,2024-03-16,2024-03-28,2024-04-01,2024-04-10,2024-04-11,True,True,joined_on_time,2024-04-11,11,discovery
CAND-00090,APP-00091,REQ-00226,CLI-006,REC-017,Bookkeeper,Finance/Accounting,St. Louis,MO,hybrid,W2 Contract,1.4,career_site,29.46,32.66,2025-05-12,2025-05-16,2025-05-20,2025-05-25,2025-06-07,,True,True,accepted_no_show,2025-06-07,5,discovery
